Machine,Workflow,NumberSequences,Task,WorkflowInputSize,Realtime,%cpu,rss,rchar,wchar,cpus,read_bytes,write_bytes,vmem,memory,peak_rss,TaskInputSize,TaskInputSizeUncompressed,WorkflowInputUncompressed
A1,atacseq,37596126,FASTQC,1862380804,347192,103.2,1067270144,1893391029,3704580,6,20480,4407296,4551680000,17179869184,1067270144,1862380804,7045849256,7045849256
A1,atacseq,587600,FASTQC,29105620,12854,176.8,227483648,59997930,3604207,6,0,3977216,4551680000,17179869184,227483648,29105620,110119968,110119968
A1,atacseq,4699600,FASTQC,233161053,51047,117.7,759746560,264075396,3653080,6,0,4030464,4475781120,17179869184,759746560,233161053,880745968,880745968
A1,atacseq,147000,FASTQC,7287465,8869,204.1,277942272,38172539,3579489,6,0,3952640,4555874304,17179869184,277942272,7287465,27547568,27547568
A1,atacseq,18798126,FASTQC,931822514,178182,106.3,1058963456,962817711,3683251,6,0,4169728,4549582848,17179869184,1060605952,931822514,3522936056,3522936056
A1,atacseq,293800,FASTQC,14554208,8865,210.6,269930496,45447143,3601558,6,0,3977216,4559732736,17179869184,269930496,14554208,55059168,55059168
A1,atacseq,2349800,FASTQC,116545329,30084,131.9,334323712,147449034,3625599,6,0,3993600,4475781120,17179869184,334323712,116545329,440371968,440371968
A1,atacseq,1175000,FASTQC,58238751,18880,147.0,328544256,89136044,3615193,6,0,3985408,4555874304,17179869184,328544256,58238751,220203968,220203968
A1,atacseq,9399126,FASTQC,466177547,94309,110.5,1103818752,497103035,3673558,6,0,4091904,4555874304,17179869184,1103818752,466177547,1761479256,1761479256
A1,atacseq,73600,FASTQC,3653358,6928,227.8,267321344,34474333,3596868,6,0,3973120,4557189120,17179869184,267321344,3653358,13791968,13791968
A1,atacseq,4699600,TRIMGALORE,233161053,100872,439.5,560590848,6708793084,6395927161,8,0,391536640,3275616256,17179869184,567902208,233161053,880745968,880745968
A1,atacseq,18798126,TRIMGALORE,931822514,368573,459.5,1516265472,26021147704,25009596847,8,0,1553813504,3273519104,17179869184,1567764480,931822514,3522936056,3522936056
A1,atacseq,587600,TRIMGALORE,29105620,21938,332.4,320434176,910883011,834603892,8,0,52588544,3277709312,17179869184,320532480,29105620,110119968,110119968
A1,atacseq,2349800,TRIMGALORE,116545329,55491,417.7,360275968,3490390837,3294133056,8,0,197902336,3197644800,17179869184,360554496,116545329,440371968,440371968
A1,atacseq,37596126,TRIMGALORE,1862380804,726978,463.7,2094084096,51769841769,49827776923,8,0,3103170560,3197591552,17179869184,2101407744,1862380804,7045849256,7045849256
A1,atacseq,293800,TRIMGALORE,14554208,14144,318.6,239042560,474171168,419193787,8,0,28327936,3277713408,17179869184,239042560,14554208,55059168,55059168
A1,atacseq,1175000,TRIMGALORE,58238751,32102,390.7,272257024,1784433066,1665524101,8,0,101040128,3197640704,17179869184,272384000,58238751,220203968,220203968
A1,atacseq,147000,TRIMGALORE,7287465,12087,253.7,239095808,256096048,211748527,8,0,16232448,3277742080,17179869184,240164864,7287465,27547568,27547568
A1,atacseq,73600,TRIMGALORE,3653358,9299,248.5,184762368,146994412,107973419,8,0,10170368,3273543680,17179869184,184762368,3653358,13791968,13791968
A1,atacseq,9399126,TRIMGALORE,466177547,188836,454.5,937951232,13145342215,12599501276,8,221184,778919936,3197620224,17179869184,944947200,466177547,1761479256,1761479256
A1,atacseq,75192126,TRIMGALORE,3259653689,1446057,464.3,3399098368,102788801086,99455492279,8,1069056,6195539968,4168884224,17179869184,3432005632,3259653689,14091675276,14091675276
A1,atacseq,75192126,FASTQC,3259653689,667187,101.7,1083621376,3290665141,3705629,6,0,4599808,4551680000,17179869184,1084698624,3259653689,14091675276,14091675276
A1,atacseq,18798126,BWA_MEM,931822514,872253,721.5,7273107456,11627516469,6658509391,8,6195482624,1220947968,8291209216,17179869184,7275163648,771829785,3228323076,3522936056
A1,atacseq,293800,BWA_MEM,14554208,35756,291.5,5727739904,5513121057,102576195,8,1279217664,19075072,6221242368,17179869184,5727739904,12079134,50436264,55059168
A1,atacseq,1175000,BWA_MEM,58238751,59816,657.8,6631178240,5802287451,412726013,8,48361472,76296192,7821824000,17179869184,6657110016,48294256,201814236,220203968
A1,atacseq,37596126,BWA_MEM,1862380804,1596601,787.3,7301451776,17874584698,13353500700,8,1543999488,2441072640,8429670400,17179869184,7305830400,1543427085,6456474336,7045849256
A1,atacseq,147000,BWA_MEM,7287465,16679,325.6,5527166976,5465243493,51207374,8,83435520,9555968,6138064896,17179869184,5527166976,6056177,25258892,27547568
A1,atacseq,4699600,BWA_MEM,233161053,209066,752.5,7111245824,6960824348,1655332583,8,193048576,305164288,8251990016,17179869184,7114485760,192983961,807128020,880745968
A1,atacseq,587600,BWA_MEM,29105620,33239,599.8,6032855040,5609314538,205759488,8,29048832,38146048,6320500736,17179869184,6032855040,24155072,100881862,110119968
A1,atacseq,2349800,BWA_MEM,116545329,109504,716.4,6978494464,6189225832,827668980,8,96608256,152580096,8224100352,17179869184,6978625536,96540864,403584188,440371968
A1,atacseq,9399126,BWA_MEM,466177547,407459,771.1,7190908928,8513264656,3319827379,8,351862784,610287616,8291209216,17179869184,7190933504,385901032,1614130108,1761479256
A1,atacseq,73600,BWA_MEM,3653358,10941,278.0,5488168960,5441379445,25598611,8,11517952,4792320,6130032640,17179869184,5518618624,3042898,12663994,13791968
A1,atacseq,75192126,BWA_MEM,3259653689,3182334,790.0,7582969856,30401707954,26785685123,8,2967400448,4887429120,8901529600,17179869184,7582994432,3083521531,12912163236,14091675276
A1,atacseq,18798126,SORT_BAM,931822514,237190,143.0,5249081344,5300568238,2076030229,6,1221554176,2076610560,6714658816,17179869184,5645385728,1220325816,1220325816,3522936056
A1,atacseq,293800,SORT_BAM,14554208,2833,153.5,10412032,77879794,21666706,6,19070976,21684224,5241679872,17179869184,10412032,19063511,19063511,55059168
A1,atacseq,1175000,SORT_BAM,58238751,10225,169.6,374857728,295971430,76094123,6,70975488,76136448,5958860800,17179869184,393224192,76260433,76260433,220203968
A1,atacseq,37596126,SORT_BAM,1862380804,357293,184.2,5555007488,10276384753,4018647545,6,2004557824,4019789824,6633525248,17179869184,5645762560,2439820029,2439820029,7045849256
A1,atacseq,147000,SORT_BAM,7287465,1514,147.4,11218944,40369327,11980005,6,9551872,11993088,5241679872,17179869184,11218944,9549300,9549300,27547568
A1,atacseq,4699600,SORT_BAM,233161053,40178,167.2,1535238144,1123496841,275776514,6,285237248,275927040,6142201856,17179869184,1551458304,305014906,305014906,880745968
A1,atacseq,587600,SORT_BAM,29105620,5349,162.8,189526016,151639533,40311591,6,38133760,40337408,5931851776,17179869184,198721536,38128368,38128368,110119968
A1,atacseq,2349800,SORT_BAM,116545329,19889,171.8,743313408,577223196,144631825,6,142671872,144707584,6009192448,17179869184,780062720,152509997,152509997,440371968
A1,atacseq,9399126,SORT_BAM,466177547,77704,170.1,3101073408,2182356171,526709311,6,521424896,526995456,6455226368,17179869184,3101073408,609979931,609979931,1761479256
A1,atacseq,73600,SORT_BAM,3653358,972,117.8,6758400,21298458,6942694,6,4792320,6955008,4970881024,17179869184,6758400,4791307,4791307,13791968
A1,atacseq,75192126,SORT_BAM,3259653689,789306,164.8,5538451456,19813090062,7725034438,6,5930074112,7727333376,6566248448,17179869184,5644894208,4884922715,4884922715,14091675276
A1,atacseq,18798126,MERGED_LIB_BAM,931822514,654067,127.4,9012899840,5079950770,1027403920,6,129818624,1028001792,21608652800,17179869184,9012899840,1005232680,1005232680,3522936056
A1,atacseq,1175000,MERGED_LIB_BAM,58238751,56592,135.5,7559806976,379356786,77533410,6,32608256,77680640,21438767104,17179869184,7559806976,76029298,76029298,220203968
A1,atacseq,37596126,MERGED_LIB_BAM,1862380804,1295044,143.6,12467572736,9682355982,1960813746,6,945876992,1961938944,21608652800,17179869184,12467843072,1911578627,1911578627,7045849256
A1,atacseq,2349800,MERGED_LIB_BAM,116545329,96135,124.3,7588417536,723138021,147109105,6,88784896,147279872,21506932736,17179869184,7594242048,144562326,144562326,440371968
A1,atacseq,147000,MERGED_LIB_BAM,7287465,13953,182.1,5495472128,64108942,12693164,6,9388032,12812288,21302435840,17179869184,5495472128,11921526,11921526,27547568
A1,atacseq,4699600,MERGED_LIB_BAM,233161053,174448,119.0,7642697728,1384908839,280576603,6,148606976,280784896,21575098368,17179869184,7642697728,275699574,275699574,880745968
A1,atacseq,9399126,MERGED_LIB_BAM,466177547,330747,114.6,8003510272,2654463064,536782165,6,295428096,537075712,21676818432,17179869184,8005836800,526623996,526623996,1761479256
A1,atacseq,73600,MERGED_LIB_BAM,3653358,10799,189.5,5242200064,40407964,7611520,6,4751360,7757824,21302435840,17179869184,5242200064,6885464,6885464,13791968
A1,atacseq,75192126,MERGED_LIB_BAM,3259653689,2565816,143.4,8952143872,19250911588,4660421437,6,1036034048,4663279616,21645713408,17179869184,8958844928,3604177866,3604177866,14091675276
A1,atacseq,587600,MERGED_LIB_BAM,29105620,35038,154.7,6607167488,201716202,41294679,6,45998080,41435136,21302435840,17179869184,6607167488,40249210,40249210,110119968
