Machine,Workflow,NumberSequences,Task,WorkflowInputSize,Realtime,%cpu,rss,rchar,wchar,cpus,read_bytes,write_bytes,vmem,memory,peak_rss,TaskInputSize,TaskInputSizeUncompressed,WorkflowInputUncompressed
A1,eager,40517890,fastqc,2558365820,608579,99.6,355213312,2604679545,2073947,2,2557894656,3973120,3087507456,4294967296,355213312,2558365820,12853007928,12853007928
A1,eager,20259000,fastqc,1280928724,389603,77.4,367939584,1327235766,2058932,2,1280933888,3235840,3091722240,4294967296,367939584,1280928724,6426512054,6426512054
A1,eager,2532400,fastqc,160406600,56864,85.8,333705216,196215749,2048465,2,160575488,2584576,3009867776,4294967296,333705216,160406600,803341072,803341072
A1,eager,10129600,fastqc,641176244,202105,77.6,367116288,687477166,2049581,2,641179648,2818048,3091722240,4294967296,367116288,641176244,3213283072,3213283072
A1,eager,633200,fastqc,40164535,18816,110.6,366157824,75893402,2033913,2,40165376,2400256,3087507456,4294967296,366157824,40164535,200867866,200867866
A1,eager,81035690,fastqc,4341560449,806649,141.3,342396928,4387876954,2085458,2,4339261440,3874816,3009867776,4294967296,342396928,4341560449,25705994498,25705994498
A1,eager,5064800,fastqc,321131462,107636,77.4,349499392,367434503,2052368,2,321134592,2592768,3087507456,4294967296,349499392,321131462,1606644896,1606644896
A1,eager,316600,fastqc,20081217,11585,142.5,366845952,55902970,2053095,2,20078592,2535424,3091722240,4294967296,367427584,20081217,100428862,100428862
A1,eager,1266200,fastqc,80290405,25544,117.0,336187392,116017561,2037523,2,80293888,2478080,3078172672,4294967296,336187392,80290405,401672466,401672466
A1,eager,158400,fastqc,10047704,12517,151.8,368726016,45793311,2042713,2,10039296,2396160,3091722240,4294967296,368816128,10047704,50241970,50241970
A1,eager,79200,fastqc,5020214,8654,171.5,329904128,40898015,2009863,2,5025792,2371584,3091722240,4294967296,329994240,5020214,25120602,25120602
A1,eager,633200,adapter_removal,40164535,19546,165.6,185880576,112429823,79068523,8,6320128,79122432,18295517184,15032385536,185880576,40164680,200868011,200867866
A1,eager,40517890,adapter_removal,2558365820,1204320,159.8,195002368,6951120783,5013749386,8,8286208,5014650880,18295517184,15032385536,195002368,2558365965,12853008073,12853007928
A1,eager,5064800,adapter_removal,321131462,155264,159.3,190701568,875422865,630458438,8,16539648,630607872,18295517184,15032385536,190701568,321131607,1606645041,1606644896
A1,eager,81035690,adapter_removal,4341560449,2437908,158.5,192643072,13120220351,10005512963,8,143638528,10007281664,18295517184,15032385536,197251072,4341560594,25705994643,25705994498
A1,eager,1266200,adapter_removal,80290405,38696,163.4,186466304,221450029,157898397,8,40673280,157982720,18295517184,15032385536,187604992,80290550,401672611,401672466
A1,eager,20259000,adapter_removal,1280928724,606227,159.6,188080128,3481754051,2511366466,8,164126720,2511814656,18295517184,15032385536,189841408,1280928869,6426512199,6426512054
A1,eager,10129600,adapter_removal,641176244,305447,159.7,190562304,1745559296,1259330796,8,99733504,1259589632,18295517184,15032385536,190562304,641176389,3213283217,3213283072
A1,eager,2532400,adapter_removal,160406600,76332,161.7,189222912,439137262,315240578,8,81117184,315318272,18295517184,15032385536,189251584,160406745,803341217,803341072
A1,eager,316600,adapter_removal,20081217,10151,171.4,187232256,57784141,39517290,8,20078592,39571456,18295517184,15032385536,187232256,20081362,100429007,100428862
A1,eager,158400,adapter_removal,10047704,5308,170.9,177643520,30567673,19853149,8,10039296,19910656,18295517184,15032385536,177643520,10047849,50242115,50241970
A1,eager,79200,adapter_removal,5020214,2903,182.5,114688000,16883930,9946224,8,5025792,9998336,18295517184,15032385536,114688000,5020359,25120747,25120602
A1,eager,633200,fastqc_after_clipping,40164535,7427,116.4,285962240,33646048,1020652,2,1085440,1220608,3051200512,4294967296,286052352,9358132,50377325,200867866
A1,eager,40517890,fastqc_after_clipping,2558365820,143484,102.2,344682496,621013599,978958,2,0,1904640,2941706240,4294967296,344682496,586174597,3218008747,12853007928
A1,eager,5064800,fastqc_after_clipping,321131462,23479,111.4,319787008,98711241,970291,2,0,1409024,3019345920,4294967296,319787008,74444448,402315380,1606644896
A1,eager,81035690,fastqc_after_clipping,4341560449,276498,101.3,385101824,1200271153,982934,2,0,1998848,3019345920,4294967296,385101824,1165431692,6435671112,25705994498
A1,eager,1266200,fastqc_after_clipping,80290405,9344,131.0,305168384,42959715,997673,2,0,1179648,3023560704,4294967296,305258496,18680954,100635861,401672466
A1,eager,20259000,fastqc_after_clipping,1280928724,76372,103.0,323989504,318736733,966587,2,0,1634304,2941706240,4294967296,323989504,294474409,1609092043,6426512054
A1,eager,10129600,fastqc_after_clipping,641176244,40350,105.5,312078336,172661460,959896,2,0,1208320,2941706240,4294967296,312078336,148400148,804593980,3213283072
A1,eager,2532400,fastqc_after_clipping,160406600,13362,116.6,300539904,61501809,984098,2,0,1179648,3019345920,4294967296,301371392,37228680,201134728,803341072
A1,eager,316600,fastqc_after_clipping,20081217,5366,149.5,276783104,28983703,1058757,2,0,1245184,3019345920,4294967296,276783104,4678211,25168892,100428862
A1,eager,158400,fastqc_after_clipping,10047704,4325,144.0,263094272,26674565,1109212,2,0,1425408,3019345920,4294967296,263094272,2352564,12634951,50241970
A1,eager,79200,fastqc_after_clipping,5020214,4320,132.7,218755072,25519864,1172503,2,0,1388544,3019345920,4294967296,218755072,1179319,6324024,25120602
A1,eager,20259000,bwa,1280928724,1972368,679.9,3616989184,46133692866,2667387923,8,694099968,556302336,7178559488,15032385536,3661856768,294478505,1609096139,6426512054
A1,eager,1266200,bwa,80290405,125152,671.9,2675200000,4390065919,166499736,8,0,36806656,6650331136,15032385536,2746015744,18685050,100639957,401672466
A1,eager,2532400,bwa,160406600,244884,676.9,2851581952,6937814738,332209596,8,4096,71815168,6991638528,15032385536,2862395392,37232776,201138824,803341072
A1,eager,40517890,bwa,2558365820,3904812,687.3,5199351808,91598267588,5340525554,8,12288,1099681792,7447760896,15032385536,6070030336,586178693,3218012843,12853007928
A1,eager,81035690,bwa,4341560449,7881404,682.2,7326601216,183324035274,11492043592,8,16224256,3010666496,8356569088,15032385536,7921205248,1165435788,6435675208,25705994498
