Machine,Workflow,NumberSequences,Task,WorkflowInputSize,Realtime,%cpu,rss,rchar,wchar,cpus,read_bytes,write_bytes,vmem,memory,peak_rss,TaskInputSize,TaskInputSizeUncompressed,WorkflowInputUncompressed
A2,methylseq,1738400,fastqc,128039541,22560,174.6,552914944,144787574,4294517,2,0,4870144,3469262848,6442450944,553017344,128039541,532113248,532113248
A2,methylseq,13907000,fastqc,1023173576,117664,187.0,538275840,1039901336,4239553,2,0,5488640,3469262848,6442450944,538275840,1023173576,4256856162,4256856162
A2,methylseq,869200,fastqc,64015718,15635,176.5,477339648,80902890,4318823,2,0,4849664,3465068544,6442450944,477339648,64015718,266056874,266056874
A2,methylseq,3476800,fastqc,255921460,36776,180.5,491380736,272655843,4261767,2,0,4808704,3465068544,6442450944,491380736,255921460,1064228578,1064228578
A2,methylseq,27813800,fastqc,2045753783,214795,191.2,519974912,2062474554,4238205,2,0,5513216,3465068544,6442450944,519974912,2045753783,8513652210,8513652210
A2,methylseq,6953600,fastqc,511782539,64745,182.0,487575552,528499435,4240144,2,0,4874240,3465068544,6442450944,487575552,511782539,2128458534,2128458534
A2,methylseq,434600,fastqc,32000877,15026,143.1,472367104,48770442,4344179,2,0,4706304,3469262848,6442450944,472367104,32000877,133026738,133026738
A2,methylseq,217400,fastqc,16014660,11665,172.9,415715328,32798538,4343099,2,0,4702208,3469262848,6442450944,415715328,16014660,66544328,66544328
A2,methylseq,108800,fastqc,8016886,10537,158.5,292614144,24823763,4358632,2,0,4841472,3469262848,6442450944,292704256,8016886,33303052,33303052
A2,methylseq,54400,fastqc,4005191,8527,178.6,308146176,20806851,4384001,2,0,4743168,3469262848,6442450944,308146176,4005191,16652158,16652158
A2,methylseq,434600,trim_galore,32000877,37271,161.4,299716608,730148961,648416078,2,98304,60002304,3144024064,6442450944,299716608,32002668,133028529,133026738
A2,methylseq,13907000,trim_galore,1023173576,821826,163.9,246796288,19933252739,18802908870,2,466944,1773715456,3133693952,6442450944,251424768,1023175367,4256857953,4256856162
A2,methylseq,6953600,trim_galore,511782539,424008,161.0,249917440,10174984237,9556143235,2,0,888762368,3063427072,6442450944,249917440,511784330,2128460325,2128458534
A2,methylseq,3476800,trim_galore,255921460,222753,158.4,281776128,5296249345,4933632941,2,0,446771200,3139833856,6442450944,281776128,255923251,1064230369,1064228578
