Machine,Workflow,NumberSequences,Task,WorkflowInputSize,Realtime,%cpu,rss,rchar,wchar,cpus,read_bytes,write_bytes,vmem,memory,peak_rss,TaskInputSize,TaskInputSizeUncompressed,WorkflowInputUncompressed
A1,methylseq,2296400,fastqc,168296869,32643,156.6,537706496,185046200,4283503,2,83595264,4665344,3469262848,6442450944,537706496,168296869,703134034,703134034
A1,methylseq,18371200,fastqc,1345246824,188777,150.4,550494208,1361984312,4235615,2,668459008,5185536,3469262848,6442450944,550494208,1345246824,5625080584,5625080584
A1,methylseq,36742400,fastqc,2690288753,337809,161.7,567627776,2707010515,4227905,2,1803984896,5332992,3469262848,6442450944,567627776,2690288753,11250161918,11250161918
A1,methylseq,9185600,fastqc,673045482,99880,150.9,541696000,689776775,4242189,2,334540800,4820992,3469262848,6442450944,541696000,673045482,2812540396,2812540396
A1,methylseq,4592800,fastqc,336584660,45790,183.2,554602496,353494322,4253519,2,167260160,4657152,3469262848,6442450944,554704896,336584660,1406269180,1406269180
A1,methylseq,1148200,fastqc,84155720,20657,152.6,510275584,100916297,4305805,2,41746432,4751360,3469262848,6442450944,510275584,84155720,351567132,351567132
A1,methylseq,287200,fastqc,21071197,12758,163.8,423215104,37952548,4333521,2,10485760,4743168,3469262848,6442450944,423215104,21071197,87937226,87937226
A1,methylseq,36742400,trim_galore,2690288753,2184496,161.1,331935744,52048113422,49251543637,2,1200422912,4664184832,3144028160,6442450944,335208448,2690290544,11250163709,11250161918
A1,methylseq,18371200,trim_galore,1345246824,1094125,161.8,265007104,26232292477,24781249730,2,583147520,2334584832,3133829120,6442450944,265732096,1345248615,5625082375,5625080584
A1,methylseq,4592800,trim_galore,336584660,295194,156.0,298991616,6871741172,6428727353,2,28672,587407360,3144024064,6442450944,300310528,336586451,1406270971,1406269180
A1,methylseq,9185600,trim_galore,673045482,553890,161.0,315453440,13324308056,12545550527,2,131604480,1170268160,3139837952,6442450944,315973632,673047273,2812542187,2812540396
A1,methylseq,2296400,trim_galore,168296869,149373,160.6,329162752,3644855078,3369819746,2,8744960,296095744,3144028160,6442450944,329170944,168298660,703135825,703134034
A1,methylseq,574200,fastqc,42111060,11743,176.1,540667904,58972762,4344080,2,42115072,4702208,3469262848,6442450944,540667904,42111060,175812722,175812722
A1,methylseq,1148200,trim_galore,84155720,81539,158.5,288665600,1869414956,1709464981,2,9486336,150401024,3139833856,6442450944,288694272,84157511,351568923,351567132
A1,methylseq,143600,fastqc,10547640,8618,184.3,301142016,27319779,4349943,2,10551296,4718592,3467165696,6442450944,301142016,10547640,43968694,43968694
A1,methylseq,574200,trim_galore,42111060,44317,166.8,310468608,954094541,857143842,2,4685824,77656064,3144028160,6442450944,310591488,42112851,175814513,175812722
A1,methylseq,71800,fastqc,5263894,6541,182.8,306290688,22156918,4368771,2,5267456,4730880,3465068544,6442450944,306290688,5263894,21984676,21984676
A1,methylseq,287200,trim_galore,21071197,28316,157.6,231968768,496372937,430930068,2,10846208,41263104,3139833856,6442450944,231968768,21072988,87939017,87937226
A1,methylseq,143600,trim_galore,10547640,20082,148.6,256143360,267595138,217956064,2,9920512,23183360,3144024064,6442450944,256143360,10549431,43970485,43968694
A1,methylseq,71800,trim_galore,5263894,16093,142.5,235565056,152900629,111179478,2,2437120,14057472,3144216576,6442450944,235565056,5265685,21986467,21984676
A1,methylseq,4592800,bismark_align,336584660,213411,157.0,83423232,9151648724,7151169802,2,310501376,1400025088,479879168,6442450944,83529728,290882362,1381360637,1406269180
A1,methylseq,2296400,bismark_align,168296869,118860,140.6,82825216,4585247578,3575336883,2,193867776,699969536,479834112,6442450944,83070976,145442189,690637887,703134034
A1,methylseq,1148200,bismark_align,84155720,54155,156.2,82837504,2301754210,1787223996,2,22364160,349896704,479891456,6442450944,82837504,72699676,345229427,351567132
A1,methylseq,574200,bismark_align,42111060,30457,138.2,83169280,1160823316,893781628,2,9125888,174981120,479850496,6442450944,83169280,36366969,172646833,175812722
A1,methylseq,287200,bismark_align,21071197,17812,117.8,82067456,590326024,447055299,2,5804032,87531520,478826496,6442450944,82128896,18186943,86355471,87937226
A1,methylseq,9185600,bismark_align,673045482,445395,146.3,82788352,18281595823,14300661118,2,812879872,2799771648,479870976,6442450944,83111936,581627282,2762395197,2812540396
A1,methylseq,143600,bismark_align,10547640,11889,91.4,82538496,305525049,224029030,2,9117696,43864064,478777344,6442450944,82604032,9120670,43273099,43968694
A1,methylseq,71800,bismark_align,5263894,12157,47.5,82747392,162286109,111874810,2,5824512,21905408,478736384,6442450944,82817024,4551216,21609045,21984676
A1,methylseq,2296400,bismark_deduplicate,168296869,1120,13.3,3125248,2982964,2492765,2,860160,180224,9441280,6442450944,3125248,173711,173711,703134034
A1,methylseq,1148200,bismark_deduplicate,84155720,930,14.8,3178496,1725509,1253400,2,356352,94208,5799936,6442450944,3178496,89973,89973,351567132
A1,methylseq,4592800,bismark_deduplicate,336584660,855,23.2,3153920,5604848,4857697,2,606208,356352,9441280,6442450944,3153920,352011,352011,1406269180
A1,methylseq,574200,bismark_deduplicate,42111060,862,13.6,3203072,1087894,667500,2,430080,53248,9441280,6442450944,3203072,46008,46008,175812722
A1,methylseq,287200,bismark_deduplicate,21071197,740,14.4,3203072,750519,340387,2,421888,28672,9441280,6442450944,3203072,23495,23495,87937226
A1,methylseq,143600,bismark_deduplicate,10547640,905,12.0,3145728,589711,190465,2,712704,20480,9441280,6442450944,3145728,13239,13239,43968694
A1,methylseq,18371200,bismark_align,1345246824,828239,160.2,83103744,36544755117,28602734864,2,1249558528,5599797248,479948800,6442450944,83226624,1162886136,5525077773,5625080584
A1,methylseq,71800,bismark_deduplicate,5263894,433,20.3,3645440,500538,147416,2,843776,12288,13479936,6442450944,3645440,8059,8059,21984676
A1,methylseq,2296400,qualimap,168296869,4749,164.1,130428928,13997155,1449417,2,1142784,1622016,9545617408,6442450944,130428928,173757,173757,703134034
A1,methylseq,2296400,bismark_methXtract,168296869,13947,6.4,28856320,6237029,5068255,2,1458176,638976,50622464,6442450944,28856320,177853,177853,703134034
A1,methylseq,1148200,bismark_methXtract,84155720,13665,4.2,28737536,3717259,2756631,2,557056,356352,50589696,6442450944,28737536,94115,94115,351567132
A1,methylseq,1148200,qualimap,84155720,4696,165.2,134885376,13797719,1418269,2,118784,1593344,9545617408,6442450944,135356416,90019,90019,351567132
A1,methylseq,4592800,qualimap,336584660,4513,159.6,130555904,14289485,1495951,2,352256,1679360,9545617408,6442450944,130555904,351664,351664,1406269180
A1,methylseq,4592800,bismark_methXtract,336584660,14434,11.0,25530368,11336940,9907486,2,0,1196032,47489024,6442450944,25530368,355760,355760,1406269180
A1,methylseq,287200,qualimap,21071197,3690,170.3,117145600,13607480,1301929,2,24576,1482752,9545617408,6442450944,117145600,23542,23542,87937226
A1,methylseq,287200,bismark_methXtract,21071197,13396,2.9,27869184,1772639,904873,2,0,139264,47837184,6442450944,27869184,27638,27638,87937226
A1,methylseq,574200,bismark_methXtract,42111060,13413,3.4,28241920,2429092,1548702,2,49152,225280,50573312,6442450944,28241920,50150,50150,175812722
A1,methylseq,574200,qualimap,42111060,3874,171.9,118140928,13682826,1371678,2,0,1548288,9545617408,6442450944,118140928,46054,46054,175812722
A1,methylseq,143600,bismark_methXtract,10547640,13409,2.6,27889664,1480928,505728,2,0,114688,47874048,6442450944,27889664,17383,17383,43968694
A1,methylseq,143600,qualimap,10547640,3996,170.4,118665216,13568443,1230653,2,16384,1409024,9545617408,6442450944,118665216,13287,13287,43968694
A1,methylseq,71800,qualimap,5263894,3666,172.2,115589120,13556711,1178911,2,0,1363968,9545617408,6442450944,115589120,8106,8106,21984676
A1,methylseq,71800,bismark_methXtract,5263894,13319,2.6,28078080,1322604,312637,2,0,106496,47718400,6442450944,28078080,12202,12202,21984676
A1,methylseq,2296400,bismark_report,168296869,1901,36.2,41185280,3544718,3162521,1,28672,3162112,52092928,6442450944,44109824,15751,15751,703134034
A1,methylseq,1148200,bismark_report,84155720,1927,34.4,12480512,3544487,3162402,1,3219456,3162112,19382272,6442450944,12480512,15521,15521,351567132
A1,methylseq,4592800,bismark_report,336584660,1779,35.4,41283584,3545138,3162736,1,8192,3162112,52088832,6442450944,44208128,16172,16172,1406269180
A1,methylseq,9185600,bismark_deduplicate,673045482,476,66.0,8192000,10753206,9713161,2,40960,708608,15527936,6442450944,8192000,701669,701669,2812540396
A1,methylseq,287200,bismark_report,21071197,1922,34.9,41197568,3543305,3161708,1,8192,3162112,52088832,6442450944,44122112,14339,14339,87937226
A1,methylseq,574200,bismark_report,42111060,2104,32.8,53858304,3543827,3162055,1,8192,3162112,70766592,6442450944,53858304,14860,14860,175812722
A1,methylseq,143600,bismark_report,10547640,1777,36.3,97603584,3542893,3161367,1,4096,3162112,125366272,6442450944,97603584,13927,13927,43968694
A1,methylseq,71800,bismark_report,5263894,1823,37.9,100720640,3542462,3160938,1,0,3162112,129245184,6442450944,100720640,13495,13495,21984676
A1,methylseq,9185600,bismark_methXtract,673045482,15310,17.9,32342016,21326198,19371086,2,0,2322432,67661824,6442450944,32342016,704772,704772,2812540396
A1,methylseq,9185600,qualimap,673045482,4307,179.8,136916992,14835653,1645882,2,0,1810432,9545617408,6442450944,136916992,700676,700676,2812540396
A1,methylseq,9185600,bismark_report,673045482,1745,36.1,88104960,3545920,3163132,1,0,3162112,113659904,6442450944,88104960,16954,16954,2812540396
A1,methylseq,73484606,fastqc,4751562611,527332,194.2,581152768,4768286119,4234313,2,2416345088,6021120,3469262848,6442450944,581181440,4751562611,22500260922,22500260922
A1,methylseq,73484606,trim_galore,4751562611,3935054,173.6,260788224,103030796033,98181106335,2,966021120,9309675520,3063566336,6442450944,260788224,4751564402,22500262713,22500260922
A1,methylseq,18371200,bismark_deduplicate,1345246824,483,104.5,10870784,20902786,19122671,2,40960,1388544,17883136,6442450944,10870784,1383783,1383783,5625080584
A1,methylseq,18371200,qualimap,1345246824,5040,183.0,155140096,15876579,1959519,2,114688,2138112,9545617408,6442450944,155140096,1381913,1381913,5625080584
A1,methylseq,18371200,bismark_methXtract,1345246824,17312,31.7,41218048,40696379,37760301,2,397312,4440064,89522176,6442450944,41218048,1386009,1386009,5625080584
A1,methylseq,18371200,bismark_report,1345246824,1863,37.9,12509184,3546195,3163274,1,3211264,3162112,19382272,6442450944,12509184,17229,17229,5625080584
A1,methylseq,36742400,bismark_align,2690288753,1437286,177.4,83529728,73068504032,57204522594,2,10728845312,11199135744,479866880,6442450944,83529728,2325548783,11049962687,11250161918
A1,methylseq,36742400,bismark_deduplicate,2690288753,981,88.2,11440128,41439388,38270453,2,376832,2760704,18288640,6442450944,11440128,2763586,2763586,11250161918
A1,methylseq,36742400,qualimap,2690288753,5624,181.8,159645696,17980843,2613236,2,0,2789376,9545617408,6442450944,159645696,2753003,2753003,11250161918
A1,methylseq,36742400,bismark_methXtract,2690288753,20913,47.8,41308160,79858058,75030178,2,0,8749056,89620480,6442450944,41308160,2757099,2757099,11250161918
A1,methylseq,36742400,bismark_report,2690288753,1743,35.9,86147072,3546588,3163477,1,0,3162112,109760512,6442450944,86147072,17622,17622,11250161918
A1,methylseq,73484606,bismark_align,4751562611,2781973,180.8,83136512,146104782953,114408043322,2,22399107072,22398066688,479887360,6442450944,83136512,4645334823,22099685639,22500260922
A1,methylseq,73484606,bismark_deduplicate,4751562611,1067,153.1,11100160,82930060,76932673,2,0,5513216,18288640,6442450944,11100160,5559577,5559577,22500260922
A1,methylseq,73484606,qualimap,4751562611,6654,183.3,211193856,22155500,4032893,2,0,4206592,9545617408,6442450944,211193856,5508000,5508000,22500260922
A1,methylseq,73484606,bismark_methXtract,4751562611,29692,67.3,40636416,158135484,149322214,2,0,17289216,89538560,6442450944,40636416,5512096,5512096,22500260922
A1,methylseq,73484606,bismark_report,4751562611,1758,35.2,78770176,3546947,3163537,1,0,3162112,101982208,6442450944,78770176,18029,18029,22500260922
