Machine,Workflow,NumberSequences,Task,WorkflowInputSize,Realtime,%cpu,rss,rchar,wchar,cpus,read_bytes,write_bytes,vmem,memory,peak_rss,TaskInputSize,TaskInputSizeUncompressed,WorkflowInputUncompressed
A2,chipseq,1872700,FASTQC,100713019,22066,103.7,658849792,116242506,1869503,6,112963584,2117632,4556795904,16106127360,660217856,100713019,323191186,323191186
A2,chipseq,119847942,FASTQC,6392794687,880844,100.3,1037905920,6408344698,1895371,6,6406885376,2662400,4476399616,16106127360,1037918208,6392794687,20683131816,20683131816
A2,chipseq,191221075,FASTQC,8712302981,1373082,100.1,1041158144,8727848963,1873854,6,8726700032,3067904,4476399616,16106127360,1041186816,8712302981,32978181418,32978181418
A2,chipseq,1494000,FASTQC,77656954,16006,125.9,526385152,96577633,1879936,6,84586496,2076672,4556795904,16106127360,526487552,81040576,257651332,257651332
A2,chipseq,186800,FASTQC,9697091,5737,166.4,278175744,25672811,1899291,6,13086720,2105344,4556795904,16106127360,284925952,10126273,32214839,32214839
A2,chipseq,11951400,FASTQC,619328932,92621,101.7,1118765056,661095483,1879621,6,653996032,2187264,4556795904,16106127360,1118867456,645546275,2061152877,2061152877
A2,chipseq,14981000,FASTQC,803790497,114965,104.5,1037074432,819335981,1880856,6,806031360,2158592,4476399616,16106127360,1037074432,803790497,2585386823,2585386823
A2,chipseq,234100,FASTQC,12585529,5450,171.5,221454336,28125327,1896970,6,12587008,2093056,4552601600,16106127360,221454336,12585529,40398757,40398757
A2,chipseq,23902700,FASTQC,1236479068,178580,102.8,1096704000,1304824460,1877507,6,1289281536,2293760,4552601600,16106127360,1096704000,1289277344,4122288528,4122288528
A2,chipseq,239695842,FASTQC,11412781063,1730722,100.4,1034305536,11428324010,1875796,6,11420676096,3035136,4476399616,16106127360,1034498048,11412781063,41366257414,41366257414
A2,chipseq,29962000,FASTQC,1604989437,226209,101.6,1043558400,1620533609,1879010,6,1614159872,2187264,4546658304,16106127360,1043558400,1604989437,5170796515,5170796515
A2,chipseq,373500,FASTQC,19409231,6998,160.5,265441280,35789173,1893480,6,24395776,2105344,4556795904,16106127360,265441280,20247034,64410389,64410389
A2,chipseq,3745300,FASTQC,201226407,31524,110.4,848662528,216755161,1873052,6,202448896,2162688,4556795904,16106127360,848764928,201226407,646348142,646348142
A2,chipseq,468200,FASTQC,25209271,7724,154.6,304164864,40747319,1892051,6,27275264,2088960,4556795904,16106127360,304267264,25209271,80802540,80802540
A2,chipseq,1494000,TRIMGALORE,77656954,27580,337.4,394518528,1400351082,1245986950,8,68599808,68710400,3274301440,16106127360,407318528,81040576,257651332,257651332
A2,chipseq,234100,TRIMGALORE,12585529,8157,281.5,255021056,252960920,208786147,8,12587008,12902400,3278516224,16106127360,255021056,12585529,40398757,40398757
A2,chipseq,1872700,TRIMGALORE,100713019,31359,358.1,446267392,1678918231,1505609972,8,83320832,87900160,3198095360,16106127360,456736768,100713019,323191186,323191186
A2,chipseq,191221075,TRIMGALORE,8712302981,2480857,410.4,4088963072,145981316100,137207358861,8,5314871296,8375209984,4837814272,16106127360,4286902272,8712302981,32978181418,32978181418
A2,chipseq,11951400,TRIMGALORE,619328932,174062,380.1,1893769216,9460978075,8744237062,8,502767616,531566592,3280646144,16106127360,2034577408,645546275,2061152877,2061152877
A2,chipseq,5975700,FASTQC,309971023,48541,108.0,1042612224,338782233,1871333,6,323317760,2101248,4478496768,16106127360,1042612224,323248528,1030577327,1030577327
