Machine,Workflow,NumberSequences,Task,WorkflowInputSize,Realtime,%cpu,rss,rchar,wchar,cpus,read_bytes,write_bytes,vmem,memory,peak_rss,TaskInputSize,TaskInputSizeUncompressed,WorkflowInputUncompressed
c2,atacseq,4699600,FASTQC,233161053,28727,119.1,901173248,264007895,3649147,6,0,3932160,4555874304,17179869184,903852032,233161053,880745968,880745968
c2,atacseq,37596126,FASTQC,1862380804,148514,102.7,1043087360,1893257023,3700649,6,0,3997696,4475781120,17179869184,1043087360,1862380804,7045849256,7045849256
c2,atacseq,587600,FASTQC,29105620,6508,192.2,282333184,59929705,3600275,6,0,3895296,4555874304,17179869184,282722304,29105620,110119968,110119968
c2,atacseq,18798126,FASTQC,931822514,76533,107.1,1070141440,962683931,3679317,6,0,3973120,4551680000,17179869184,1070141440,931822514,3522936056,3522936056
c2,atacseq,1175000,FASTQC,58238751,8660,168.4,341794816,89066330,3611260,6,0,3903488,4555874304,17179869184,343605248,58238751,220203968,220203968
c2,atacseq,2349800,FASTQC,116545329,14445,135.8,499576832,147379107,3621666,6,0,3911680,4551680000,17179869184,500330496,116545329,440371968,440371968
c2,atacseq,147000,FASTQC,7287465,5459,179.5,273870848,38103616,3575556,6,0,3870720,4555874304,17179869184,278884352,7287465,27547568,27547568
c2,atacseq,293800,FASTQC,14554208,6421,151.9,277958656,45378512,3597624,6,0,3895296,4557561856,17179869184,280125440,14554208,55059168,55059168
c2,atacseq,73600,FASTQC,3653358,4439,196.8,263569408,34405179,3592934,6,0,3891200,4555874304,17179869184,263569408,3653358,13791968,13791968
c2,atacseq,9399126,FASTQC,466177547,41543,112.7,1096720384,497034184,3669625,6,0,3944448,4555874304,17179869184,1096720384,466177547,1761479256,1761479256
c2,atacseq,18798126,TRIMGALORE,931822514,238644,529.0,1525768192,26021011005,25009592917,8,0,1553661952,3197620224,17179869184,1569271808,931822514,3522936056,3522936056
c2,atacseq,147000,TRIMGALORE,7287465,9464,264.3,230166528,255993661,211744594,8,0,16150528,3283210240,17179869184,230166528,7287465,27547568,27547568
c2,atacseq,37596126,TRIMGALORE,1862380804,467075,537.4,2093563904,51769706482,49827773002,8,94056448,3102892032,3197640704,17179869184,2104623104,1862380804,7045849256,7045849256
c2,atacseq,2349800,TRIMGALORE,116545329,38811,446.7,383561728,3490320909,3294129168,8,24576,197824512,3275640832,17179869184,383692800,116545329,440371968,440371968
c2,atacseq,293800,TRIMGALORE,14554208,10129,298.5,268914688,474104802,419189768,8,0,28246016,3277717504,17179869184,269164544,14554208,55059168,55059168
c2,atacseq,587600,TRIMGALORE,29105620,12672,391.7,257175552,910809969,834599961,8,0,52506624,3273543680,17179869184,257175552,29105620,110119968,110119968
c2,atacseq,1175000,TRIMGALORE,58238751,20156,446.1,305897472,1784361496,1665520108,8,0,100958208,3277717504,17179869184,309567488,58238751,220203968,220203968
c2,atacseq,4699600,TRIMGALORE,233161053,64831,502.1,579129344,6708721441,6395923213,8,0,391450624,3197624320,17179869184,586461184,233161053,880745968,880745968
c2,atacseq,73600,TRIMGALORE,3653358,6943,217.2,251293696,146888349,108002256,8,0,10088448,3277713408,17179869184,251396096,3653358,13791968,13791968
c2,atacseq,9399126,TRIMGALORE,466177547,122405,522.1,841297920,13145271600,12599497358,8,0,778780672,3197640704,17179869184,852144128,466177547,1761479256,1761479256
