Machine,Workflow,NumberSequences,Task,WorkflowInputSize,Realtime,%cpu,rss,rchar,wchar,cpus,read_bytes,write_bytes,vmem,memory,peak_rss,TaskInputSize,TaskInputSizeUncompressed,WorkflowInputUncompressed
c2,chipseq,28597378,FASTQC,1334020879,108715,88.6,1059921920,1349580151,1910513,6,15400960,2080768,4550504448,16106127360,1062416384,1334020879,4807293396,4807293396
c2,chipseq,1787400,FASTQC,94140088,8399,132.1,624992256,109695980,1935310,6,1695744,2101248,4556795904,16106127360,625094656,94140088,300472219,300472219
c2,chipseq,1702600,FASTQC,85945806,8275,131.5,622698496,101467947,1900541,6,0,2056192,4552601600,16106127360,622698496,85945806,287873850,287873850
c2,chipseq,14298700,FASTQC,748229782,50253,105.4,1041498112,763777750,1906562,6,0,2076672,4476399616,16106127360,1041498112,748229782,2403651367,2403651367
c2,chipseq,3574700,FASTQC,187899130,14255,118.2,787148800,203449687,1924462,6,0,2097152,4476399616,16106127360,787148800,187899130,600924066,600924066
c2,chipseq,27241477,FASTQC,1207988328,86255,103.1,1152450560,1223523723,1909266,6,0,2076672,4556795904,16106127360,1155186688,1207988328,4605965334,4605965334
c2,chipseq,223500,FASTQC,11751671,3222,175.7,284835840,27306372,1934704,6,0,2093056,4556795904,16106127360,284938240,11751671,37571177,37571177
c2,chipseq,446900,FASTQC,23529629,3249,186.0,264728576,39086551,1938564,6,0,2101248,4556795904,16106127360,264728576,23529629,75125401,75125401
c2,chipseq,212900,FASTQC,10734726,3210,174.9,283566080,26271418,1935669,6,0,2105344,4556795904,16106127360,288321536,10734726,35999394,35999394
c2,chipseq,13620777,FASTQC,683568161,44254,107.1,1039298560,699097213,1912834,6,0,2068480,4476399616,16106127360,1039298560,683568161,2302988576,2302988576
c2,chipseq,3405200,FASTQC,171591665,13241,117.2,1041612800,187113013,1898862,6,0,2056192,4476399616,16106127360,1041612800,171591665,575743734,575743734
c2,chipseq,425700,FASTQC,21494257,3230,170.2,267612160,37021763,1915655,6,0,2084864,4556795904,16106127360,268787712,21494257,71979269,71979269
c2,chipseq,223500,TRIMGALORE,11751671,5782,221.8,277024768,241937962,199448343,8,7479296,12644352,3278516224,16106127360,277127168,11751671,37571177,37571177
c2,chipseq,212900,TRIMGALORE,10734726,5111,284.9,214466560,231691725,191233144,8,69632,11673600,3274301440,16106127360,214466560,10734726,35999394,35999394
c2,chipseq,6810400,FASTQC,342582205,27906,97.7,1041235968,358105014,1898616,6,360325120,2056192,4476399616,16106127360,1041235968,342582205,1151497954,1151497954
c2,chipseq,1702600,TRIMGALORE,85945806,17273,370.6,425316352,1551174892,1395988952,8,8695808,78270464,3198099456,16106127360,441339904,85945806,287873850,287873850
c2,chipseq,851300,FASTQC,43009231,5254,137.0,356212736,58533269,1906055,6,43012096,2064384,4556795904,16106127360,358457344,43009231,143937930,143937930
