Machine,Workflow,NumberSequences,Task,WorkflowInputSize,Realtime,%cpu,rss,rchar,wchar,cpus,read_bytes,write_bytes,vmem,memory,peak_rss,TaskInputSize,TaskInputSizeUncompressed,WorkflowInputUncompressed
c2,methylseq,4592800,fastqc,336584660,23416,182.1,505864192,353311569,4198512,2,340344832,4505600,3465068544,6442450944,505864192,336584660,1406269180,1406269180
c2,methylseq,18371200,fastqc,1345246824,79423,186.3,551796736,1361975074,4180604,2,1345802240,4481024,3469262848,6442450944,552230912,1345246824,5625080584,5625080584
c2,methylseq,36742400,fastqc,2690288753,157383,188.3,549580800,2706999628,4172910,2,2690490368,4476928,3469262848,6442450944,552460288,2690288753,11250161918,11250161918
c2,methylseq,2296400,fastqc,168296869,17517,178.7,546172928,185034017,4228513,2,170205184,4546560,3467165696,6442450944,547741696,168296869,703134034,703134034
c2,methylseq,574200,fastqc,42111060,8507,164.5,513880064,59003149,4289074,2,42819584,4599808,3465068544,6442450944,514043904,42111060,175812722,175812722
c2,methylseq,1148200,fastqc,84155720,11776,171.5,555307008,100903280,4250814,2,86016000,4579328,3469664256,6442450944,555307008,84155720,351567132,351567132
c2,methylseq,9185600,fastqc,673045482,42382,184.3,551186432,689766295,4187178,2,673058816,4501504,3469262848,6442450944,551268352,673045482,2812540396,2812540396
c2,methylseq,287200,fastqc,21071197,8524,172.4,444424192,37947149,4278527,2,22085632,4595712,3469451264,6442450944,444424192,21071197,87937226,87937226
c2,methylseq,143600,fastqc,10547640,6332,173.9,350187520,27418858,4294923,2,10551296,4616192,3469262848,6442450944,350187520,10547640,43968694,43968694
c2,methylseq,2296400,trim_galore,168296869,102817,160.0,277721088,3644835874,3369797480,2,7426048,295960576,3139829760,6442450944,277737472,168298660,703135825,703134034
c2,methylseq,18371200,trim_galore,1345246824,749263,162.2,261910528,26232255881,24781161939,2,306782208,2333831168,3133820928,6442450944,262090752,1345248615,5625082375,5625080584
c2,methylseq,4592800,trim_galore,336584660,195761,160.8,280367104,6871721521,6428705116,2,11481088,587239424,3139833856,6442450944,280469504,336586451,1406270971,1406269180
c2,methylseq,71800,fastqc,5263894,4455,177.7,212819968,22043775,4313763,2,5881856,4628480,3465068544,6442450944,212819968,5263894,21984676,21984676
c2,methylseq,1148200,trim_galore,84155720,55284,161.7,238489600,1869395090,1709409959,2,4304896,150265856,3131727872,6442450944,238489600,84157511,351568923,351567132
c2,methylseq,574200,trim_galore,42111060,32814,157.2,314544128,954076462,857088839,2,6983680,77516800,3149365248,6442450944,314544128,42112851,175814513,175812722
c2,methylseq,36742400,trim_galore,2690288753,1476734,163.2,257466368,52048093518,49251521397,2,719790080,4662603776,3063566336,6442450944,257556480,2690290544,11250163709,11250161918
c2,methylseq,9185600,trim_galore,673045482,377950,162.7,277422080,13324287419,12545495512,2,58175488,1169620992,3139833856,6442450944,277422080,673047273,2812542187,2812540396
c2,methylseq,287200,trim_galore,21071197,21552,146.6,58757120,496353742,430875065,2,22953984,41111552,2993311744,6442450944,58757120,21072988,87939017,87937226
c2,methylseq,143600,trim_galore,10547640,14602,143.2,242118656,267572833,217901031,2,10551296,22974464,3144024064,6442450944,242221056,10549431,43970485,43968694
c2,methylseq,71800,trim_galore,5263894,10767,139.7,225845248,152881339,111124461,2,5267456,13885440,3144024064,6442450944,229249024,5265685,21986467,21984676
c2,methylseq,73484606,trim_galore,4751562611,3030092,161.7,253145088,103030777979,98181026740,2,10612224000,9309032448,3063566336,6442450944,256253952,4751564402,22500262713,22500260922
c2,methylseq,73484606,fastqc,4751562611,303583,190.4,576270336,4768274558,4179318,2,2775683072,4481024,3469262848,6442450944,576438272,4751562611,22500260922,22500260922
c2,methylseq,2296400,bismark_align,168296869,73992,161.3,82526208,4585246822,3575336933,2,222851072,699965440,479866880,6442450944,82530304,145442189,690637887,703134034
c2,methylseq,4592800,bismark_align,336584660,124335,169.1,82702336,9151647969,7151169850,2,569946112,1400012800,479952896,6442450944,82702336,290882362,1381360637,1406269180
c2,methylseq,1148200,bismark_align,84155720,33693,155.6,82522112,2301753443,1787224037,2,73228288,349888512,479961088,6442450944,82522112,72699676,345229427,351567132
c2,methylseq,574200,bismark_align,42111060,20466,131.8,82743296,1160822545,893781666,2,36380672,174981120,479965184,6442450944,82743296,36366969,172646833,175812722
c2,methylseq,18371200,bismark_align,1345246824,529650,170.5,82608128,36544754328,28602734887,2,6096900096,5599653888,479965184,6442450944,82608128,1162886136,5525077773,5625080584
c2,methylseq,9185600,bismark_align,673045482,267331,171.0,82276352,18281595066,14300661168,2,698777600,2799689728,479965184,6442450944,82276352,581627282,2762395197,2812540396
c2,methylseq,287200,bismark_align,21071197,14774,107.3,82309120,590325274,447055352,2,18923520,87527424,479879168,6442450944,82309120,18186943,86355471,87937226
c2,methylseq,143600,bismark_align,10547640,9622,78.4,81580032,305524277,224029067,2,9121792,43864064,478711808,6442450944,81645568,9120670,43273099,43968694
c2,methylseq,71800,bismark_align,5263894,7484,53.7,81534976,162285321,111874834,2,4550656,21905408,478732288,6442450944,81604608,4551216,21609045,21984676
c2,methylseq,36742400,bismark_align,2690288753,929653,168.3,79069184,73068503261,57204522632,2,15778476032,11199107072,479870976,6442450944,81874944,2325548783,11049962687,11250161918
c2,methylseq,2296400,bismark_deduplicate,168296869,197,41.6,3133440,2978086,2472285,2,593920,180224,5615616,6442450944,3133440,173711,173711,703134034
