Machine,Workflow,NumberSequences,Task,WorkflowInputSize,Realtime,%cpu,rss,rchar,wchar,cpus,read_bytes,write_bytes,vmem,memory,peak_rss,TaskInputSize,TaskInputSizeUncompressed,WorkflowInputUncompressed
local,chipseq,11951400,FASTQC,619328932,46338,101.8,1116065792,661073680,1879627,6,645554176,2097152,4556804096,16106127360,1116168192,645546275,2061152877,2061152877
local,chipseq,191221075,FASTQC,8712302981,665408,98.8,1037496320,8727835755,1873845,6,8717844480,2527232,4476407808,16106127360,1037496320,8712302981,32978181418,32978181418
local,chipseq,1494000,FASTQC,77656954,9421,124.1,835342336,96565501,1879942,6,81158144,2076672,4556804096,16106127360,838017024,81040576,257651332,257651332
local,chipseq,119847942,FASTQC,6392794687,430432,98.6,1066754048,6408332732,1895360,6,6415212544,2379776,4552609792,16106127360,1069314048,6392794687,20683131816,20683131816
local,chipseq,234100,FASTQC,12585529,7125,93.1,223641600,28113627,1896989,6,24776704,2093056,4552609792,16106127360,223641600,12585529,40398757,40398757
local,chipseq,186800,FASTQC,9697091,7141,87.9,237064192,25662563,1899298,6,62668800,2125824,4554706944,16106127360,246689792,10126273,32214839,32214839
local,chipseq,23902700,FASTQC,1236479068,82486,103.1,1057746944,1304812862,1877527,6,1295245312,2129920,4583817216,16106127360,1057746944,1289277344,4122288528,4122288528
local,chipseq,1872700,FASTQC,100713019,10676,115.9,617144320,116229611,1869508,6,102535168,2076672,4556804096,16106127360,617246720,100713019,323191186,323191186
local,chipseq,239695842,FASTQC,11412781063,816536,99.5,1033555968,11428312501,1875799,6,11440132096,2531328,4476407808,16106127360,1033555968,11412781063,41366257414,41366257414
local,chipseq,14981000,FASTQC,803790497,165960,34.9,1040592896,819325709,1880860,6,834228224,2174976,4548763648,16106127360,1041600512,803790497,2585386823,2585386823
local,chipseq,29962000,FASTQC,1604989437,114552,96.8,1040105472,1620523007,1879013,6,1643462656,2138112,4478504960,16106127360,1040158720,1604989437,5170796515,5170796515
local,chipseq,2987900,FASTQC,155106475,16314,95.0,850591744,177406777,1874364,6,180891648,2072576,4554706944,16106127360,850591744,161884701,515279642,515279642
local,chipseq,468200,FASTQC,25209271,4568,174.8,262082560,40735301,1892044,6,28286976,2088960,4556804096,16106127360,262082560,25209271,80802540,80802540
