Machine,Workflow,NumberSequences,Task,WorkflowInputSize,Realtime,%cpu,rss,rchar,wchar,cpus,read_bytes,write_bytes,vmem,memory,peak_rss,TaskInputSize,TaskInputSizeUncompressed,WorkflowInputUncompressed
localRedCPU,methylseq,27813800,fastqc,2045753783,122636,191.0,544165888,2062464029,4238209,2,344064,4763648,3469271040,6442450944,544165888,2045753783,8513652210,8513652210
localRedCPU,methylseq,6953600,fastqc,511782539,38447,190.2,546643968,528491297,4240148,2,5898240,4612096,3465076736,6442450944,546643968,511782539,2128458534,2128458534
localRedCPU,methylseq,13907000,fastqc,1023173576,63438,191.1,554713088,1039889808,4239558,2,28672,4648960,3469271040,6442450944,554713088,1023173576,4256856162,4256856162
localRedCPU,methylseq,3476800,fastqc,255921460,21461,180.6,529178624,272645484,4261781,2,24576,4653056,3469271040,6442450944,529178624,255921460,1064228578,1064228578
localRedCPU,methylseq,434600,fastqc,32000877,8388,188.7,481050624,48950796,4344183,2,0,4706304,3465076736,6442450944,481050624,32000877,133026738,133026738
localRedCPU,methylseq,869200,fastqc,64015718,11350,174.1,563404800,80819980,4318827,2,0,4706304,3469271040,6442450944,563486720,64015718,266056874,266056874
localRedCPU,methylseq,13907000,trim_galore,1023173576,634154,176.6,257769472,19933212617,18802925257,2,83857408,1771671552,3137753088,6442450944,265314304,1023175367,4256857953,4256856162
localRedCPU,methylseq,108800,fastqc,8016886,6393,172.6,479432704,24932707,4358635,2,0,4739072,3469271040,6442450944,479432704,8016886,33303052,33303052
localRedCPU,methylseq,1738400,fastqc,128039541,14392,189.9,478945280,144768308,4294521,2,0,4644864,3465076736,6442450944,478945280,128039541,532113248,532113248
localRedCPU,methylseq,217400,fastqc,16014660,8459,187.9,356642816,32957298,4343101,2,0,4702208,3469271040,6442450944,356642816,16014660,66544328,66544328
localRedCPU,methylseq,54400,fastqc,4005191,4360,188.3,255336448,20977028,4384004,2,0,4743168,3469271040,6442450944,255528960,4005191,16652158,16652158
localRedCPU,methylseq,1738400,trim_galore,128039541,88756,174.6,233177088,2807860449,2582592480,2,0,225894400,3063578624,6442450944,233177088,128041332,532115039,532113248
localRedCPU,methylseq,434600,trim_galore,32000877,28680,174.9,280596480,730124939,648416082,2,0,60002304,3144155136,6442450944,280596480,32002668,133028529,133026738
localRedCPU,methylseq,27813800,trim_galore,2045753783,1248844,178.9,245751808,39448445337,37294903443,2,169308160,3537702912,3063443456,6442450944,251473920,2045755574,8513654001,8513652210
localRedCPU,methylseq,3476800,trim_galore,255921460,168324,177.1,310296576,5296191001,4933583805,2,11169792,446685184,3144327168,6442450944,310296576,255923251,1064230369,1064228578
localRedCPU,methylseq,869200,trim_galore,64015718,50694,173.9,324329472,1422718492,1293156381,2,32768,115310592,3143897088,6442450944,325996544,64017509,266058665,266056874
localRedCPU,methylseq,6953600,trim_galore,511782539,332588,176.2,240910336,10174960802,9556143233,2,66060288,888410112,3063443456,6442450944,244707328,511784330,2128460325,2128458534
localRedCPU,methylseq,217400,trim_galore,16014660,21808,164.8,108105728,384584099,326797293,2,2088960,32460800,3063578624,6442450944,108105728,16016451,66546119,66544328
localRedCPU,methylseq,108800,trim_galore,8016886,12711,167.9,208457728,211548542,165738971,2,0,18702336,3144241152,6442450944,208457728,8018677,33304843,33303052
localRedCPU,methylseq,54400,trim_galore,4005191,9253,163.6,234414080,124971088,85185373,2,0,11841536,3143901184,6442450944,234508288,4006982,16653949,16652158
localRedCPU,methylseq,55627460,trim_galore,3610674241,2563835,177.9,249012224,77979778989,74269593864,2,6081372160,7061970944,3063578624,6442450944,254464000,3610676032,17027258809,17027257018
localRedCPU,methylseq,55627460,fastqc,3610674241,227529,193.8,568840192,3627381376,4229004,2,0,4706304,3469271040,6442450944,573702144,3610674241,17027257018,17027257018
localRedCPU,methylseq,1738400,bismark_align,128039541,84514,171.7,82546688,3468915639,2700577632,2,133058560,528678912,479891456,6442450944,82546688,110348217,521533027,532113248
localRedCPU,methylseq,434600,bismark_align,32000877,24021,141.5,82440192,880229136,673947889,2,27516928,131936256,479932416,6442450944,82440192,27519617,130156697,133026738
localRedCPU,methylseq,13907000,bismark_align,1023173576,609038,173.4,77144064,27606112886,21598468098,2,4216377344,4228169728,479924224,6442450944,82952192,881753230,4171130315,4256856162
localRedCPU,methylseq,3476800,bismark_align,255921460,153255,176.2,82702336,6916354488,5399698342,2,233533440,1057058816,479920128,6442450944,82702336,220531096,1042788623,1064228578
localRedCPU,methylseq,869200,bismark_align,64015718,44488,158.7,83005440,1743321364,1349633902,2,55140352,264208384,479920128,6442450944,83005440,55142567,260641813,266056874
localRedCPU,methylseq,6953600,bismark_align,511782539,313820,177.5,82935808,13811916361,10798379957,2,470376448,2113925120,479924224,6442450944,82935808,440963041,2085400725,2128458534
localRedCPU,methylseq,217400,bismark_align,16014660,16121,115.0,82378752,450460366,337473618,2,19329024,66068480,478793728,6442450944,82448384,13781307,65175521,66544328
localRedCPU,methylseq,108800,bismark_align,8016886,10767,87.2,82014208,234943728,168733938,2,6893568,33038336,478765056,6442450944,82087936,6896121,32587291,33303052
localRedCPU,methylseq,54400,bismark_align,4005191,7912,60.9,82399232,127232641,84411963,2,3444736,16527360,478625792,6442450944,82468864,3448838,16302349,16652158
localRedCPU,methylseq,27813800,bismark_align,2045753783,1198714,167.5,79089664,55191335452,43196510090,2,11948261376,8456286208,479932416,6442450944,83152896,1763013412,8342183687,8513652210
localRedCPU,methylseq,1738400,bismark_deduplicate,128039541,326,39.4,3059712,3660703,3064719,2,548864,225280,5804032,6442450944,3059712,217751,217751,532113248
localRedCPU,methylseq,434600,bismark_deduplicate,32000877,103,72.7,10006528,1193101,766772,2,0,57344,17313792,6442450944,10006528,52446,52446,133026738
localRedCPU,methylseq,13907000,bismark_deduplicate,1023173576,398,125.0,10178560,25817241,23747566,2,1691648,1691648,17170432,6442450944,10178560,1688763,1688763,4256856162
localRedCPU,methylseq,3476800,bismark_deduplicate,255921460,202,97.6,10633216,6865511,6073338,2,430080,434176,17588224,6442450944,10633216,429989,429989,1064228578
localRedCPU,methylseq,869200,bismark_deduplicate,64015718,186,53.0,10838016,2003985,1526807,2,110592,114688,17760256,6442450944,10838016,107717,107717,266056874
localRedCPU,methylseq,6953600,bismark_deduplicate,511782539,230,119.8,10711040,13095578,11880857,2,847872,847872,17760256,6442450944,10711040,843878,843878,2128458534
localRedCPU,methylseq,217400,bismark_deduplicate,16014660,133,56.1,10309632,811240,421077,2,0,32768,17457152,6442450944,10309632,27728,27728,66544328
localRedCPU,methylseq,108800,bismark_deduplicate,8016886,146,45.9,10506240,608867,226820,2,16384,20480,17596416,6442450944,10506240,14330,14330,33303052
localRedCPU,methylseq,54400,bismark_deduplicate,4005191,146,45.5,10092544,505655,138304,2,8192,12288,17170432,6442450944,10092544,8066,8066,16652158
localRedCPU,methylseq,55627460,bismark_align,3610674241,2234936,172.3,82907136,110352284791,86391019125,2,23661473792,16912072704,479924224,6442450944,82944000,3521802803,16683895753,17027257018
localRedCPU,methylseq,1738400,bismark_methXtract,128039541,14358,6.9,25194496,7488544,6267945,2,1826816,786432,40390656,6442450944,25194496,221895,221895,532113248
localRedCPU,methylseq,1738400,qualimap,128039541,7502,92.6,117829632,14083219,1511736,2,49184768,1687552,9545629696,6442450944,117829632,217799,217799,532113248
localRedCPU,methylseq,434600,bismark_methXtract,32000877,13339,2.9,25026560,2662895,1743589,2,53248,249856,40394752,6442450944,25026560,56590,56590,133026738
localRedCPU,methylseq,434600,qualimap,32000877,3171,183.1,116543488,13711109,1428605,2,0,1601536,9545629696,6442450944,116543488,52494,52494,133026738
localRedCPU,methylseq,13907000,bismark_methXtract,1023173576,18190,35.4,41533440,48976933,45629136,2,1687552,5349376,89628672,6442450944,41533440,1689559,1689559,4256856162
localRedCPU,methylseq,13907000,qualimap,1023173576,3907,185.9,149356544,16372569,2127001,2,0,2297856,9545629696,6442450944,149356544,1685463,1685463,4256856162
localRedCPU,methylseq,3476800,qualimap,255921460,3426,181.8,141705216,14420814,1533954,2,430080,1703936,9545629696,6442450944,141705216,429709,429709,1064228578
localRedCPU,methylseq,3476800,bismark_methXtract,255921460,14325,12.1,25034752,13572717,12009777,2,0,1454080,40374272,6442450944,25034752,433805,433805,1064228578
localRedCPU,methylseq,869200,bismark_methXtract,64015718,13477,4.4,25387008,4288529,3271492,2,110592,442368,40452096,6442450944,25387008,111861,111861,266056874
localRedCPU,methylseq,869200,qualimap,64015718,3103,184.8,118091776,13858332,1517134,2,0,1683456,9545629696,6442450944,118091776,107765,107765,266056874
