Machine,Workflow,NumberSequences,Task,WorkflowInputSize,Realtime,%cpu,rss,rchar,wchar,cpus,read_bytes,write_bytes,vmem,memory,peak_rss,TaskInputSize,TaskInputSizeUncompressed,WorkflowInputUncompressed
n1,methylseq,13907000,fastqc,1023173576,69565,191.0,528789504,1039889887,4184552,2,507031552,4493312,3469508608,6442450944,528789504,1023173576,4256856162,4256856162
n1,methylseq,27813800,fastqc,2045753783,133684,191.8,476565504,2062465989,4183203,2,1646174208,4481024,3388805120,6442450944,476565504,2045753783,8513652210,8513652210
n1,methylseq,3476800,fastqc,255921460,27682,183.2,535052288,272830175,4206763,2,127602688,4517888,3465068544,6442450944,535052288,255921460,1064228578,1064228578
n1,methylseq,6953600,fastqc,511782539,41570,183.2,477155328,528493176,4185136,2,512151552,4493312,3459063808,6442450944,477155328,511782539,2128458534,2128458534
n1,methylseq,869200,fastqc,64015718,12644,161.6,543944704,80952512,4263818,2,64397312,4567040,3472179200,6442450944,543944704,64015718,266056874,266056874
n1,methylseq,217400,fastqc,16014660,8508,172.9,355999744,32956216,4288092,2,16117760,4599808,3468967936,6442450944,355999744,16014660,66544328,66544328
n1,methylseq,434600,fastqc,32000877,9559,180.5,463654912,48873852,4289162,2,32002048,4603904,3469262848,6442450944,463654912,32000877,133026738,133026738
n1,methylseq,108800,fastqc,8016886,9498,181.2,289804288,24980119,4303614,2,8024064,4673536,3465068544,6442450944,289804288,8016886,33303052,33303052
n1,methylseq,1738400,fastqc,128039541,16642,177.0,565227520,144902418,4239512,2,128815104,4542464,3469262848,6442450944,565403648,128039541,532113248,532113248
n1,methylseq,27813800,trim_galore,2045753783,1465940,171.8,256069632,39448451325,37294848410,2,896282624,3537367040,3063570432,6442450944,256069632,2045755574,8513654001,8513652210
n1,methylseq,6953600,trim_galore,511782539,389840,167.5,322809856,10174965570,9556080009,2,15720448,888274944,3143884800,6442450944,326856704,511784330,2128460325,2128458534
n1,methylseq,1738400,trim_galore,128039541,104852,169.2,299798528,2807865621,2582537460,2,3899392,225759232,3143888896,6442450944,299798528,128041332,532115039,532113248
n1,methylseq,108800,trim_galore,8016886,16857,149.3,217788416,211553088,165683956,2,7958528,18567168,3144028160,6442450944,217890816,8018677,33304843,33303052
n1,methylseq,3476800,trim_galore,255921460,191838,169.8,241369088,5296197381,4933528758,2,10194944,446550016,3063566336,6442450944,241369088,255923251,1064230369,1064228578
n1,methylseq,54400,fastqc,4005191,5535,173.4,260337664,20917546,4328996,2,4009984,4640768,3467165696,6442450944,260337664,4005191,16652158,16652158
n1,methylseq,869200,trim_galore,64015718,58984,166.0,307949568,1422725590,1293101337,2,14966784,115179520,3146412032,6442450944,307949568,64017509,266058665,266056874
n1,methylseq,13907000,trim_galore,1023173576,741779,169.2,248872960,19933218035,18802853852,2,235601920,1771503616,3063562240,6442450944,248872960,1023175367,4256857953,4256856162
n1,methylseq,434600,trim_galore,32000877,32705,169.6,144936960,730130505,648361066,2,15007744,59867136,3063431168,6442450944,144936960,32002668,133028529,133026738
n1,methylseq,54400,trim_galore,4005191,12026,150.6,254472192,124977166,85130347,2,4009984,11714560,3144028160,6442450944,258973696,4006982,16653949,16652158
n1,methylseq,217400,trim_galore,16014660,20439,165.6,186621952,384597327,326742244,2,16019456,32329728,3133829120,6442450944,186621952,16016451,66546119,66544328
n1,methylseq,55627460,trim_galore,3610674241,2991902,173.3,319016960,77979784398,74269538834,2,5584113664,7061622784,3144323072,6442450944,319037440,3610676032,17027258809,17027257018
n1,methylseq,55627460,fastqc,3610674241,248478,193.5,549597184,3627383149,4173973,2,0,4476928,3469262848,6442450944,549597184,3610674241,17027257018,17027257018
n1,methylseq,6953600,bismark_align,511782539,324925,174.3,82726912,13811924075,10798379935,2,572334080,2113925120,479879168,6442450944,82726912,440963041,2085400725,2128458534
n1,methylseq,1738400,bismark_align,128039541,82363,169.7,82657280,3468923368,2700577622,2,58753024,528678912,479875072,6442450944,82657280,110348217,521533027,532113248
n1,methylseq,108800,bismark_align,8016886,10836,86.5,82153472,234951445,168733917,2,6893568,33038336,478732288,6442450944,82214912,6896121,32587291,33303052
n1,methylseq,3476800,bismark_align,255921460,161282,176.3,82874368,6916362193,5399698306,2,107626496,1057058816,479870976,6442450944,82874368,220531096,1042788623,1064228578
n1,methylseq,869200,bismark_align,64015718,44736,160.7,83144704,1743329090,1349633881,2,26521600,264212480,479875072,6442450944,83144704,55142567,260641813,266056874
