Machine,Workflow,NumberSequences,Task,WorkflowInputSize,Realtime,%cpu,rss,rchar,wchar,cpus,read_bytes,write_bytes,vmem,memory,peak_rss,TaskInputSize,TaskInputSizeUncompressed,WorkflowInputUncompressed
n2,chipseq,27241477,FASTQC,1207988328,101362,98.2,1115074560,1223525147,1909282,6,22110208,2076672,4556795904,16106127360,1119932416,1207988328,4605965334,4605965334
n2,chipseq,223500,FASTQC,11751671,3263,182.1,278343680,27306460,1934718,6,225280,2093056,4556795904,16106127360,278446080,11751671,37571177,37571177
n2,chipseq,28597378,FASTQC,1334020879,109302,102.2,1042313216,1349578162,1910517,6,184320,2076672,4476399616,16106127360,1042313216,1334020879,4807293396,4807293396
n2,chipseq,14298700,TRIMGALORE,748229782,132400,433.6,1929490432,11205356376,10386837232,8,77836288,665866240,3198095360,16106127360,2068262912,748229782,2403651367,2403651367
n2,chipseq,223500,TRIMGALORE,11751671,7279,247.7,218259456,241941818,199448387,8,2867200,12644352,3274326016,16106127360,218259456,11751671,37571177,37571177
n2,chipseq,1787400,TRIMGALORE,94140088,45875,168.6,468336640,1613717599,1448089019,8,143822848,85815296,3274301440,16106127360,472268800,94140088,300472219,300472219
n2,chipseq,3405200,FASTQC,171591665,15364,115.9,605306880,187112325,1898879,6,171728896,2056192,4476399616,16106127360,605306880,171591665,575743734,575743734
n2,chipseq,1702600,TRIMGALORE,85945806,20297,351.2,420745216,1551173941,1395988948,8,88768512,78270464,3198099456,16106127360,432754688,85945806,287873850,287873850
n2,chipseq,1702600,FASTQC,85945806,9273,136.1,610115584,101468288,1900543,6,0,2056192,4552601600,16106127360,611069952,85945806,287873850,287873850
n2,chipseq,3574700,FASTQC,187899130,15421,118.4,688144384,203451012,1924464,6,187899904,2097152,4476399616,16106127360,688144384,187899130,600924066,600924066
n2,chipseq,212900,FASTQC,10734726,4310,154.9,279601152,26263465,1935683,6,10764288,2105344,4556795904,16106127360,284028928,10734726,35999394,35999394
n2,chipseq,14298700,FASTQC,748229782,53307,105.6,1041211392,763778293,1906564,6,0,2076672,4476399616,16106127360,1041211392,748229782,2403651367,2403651367
n2,chipseq,212900,TRIMGALORE,10734726,5779,253.8,309628928,231689887,191233144,8,9342976,11669504,3278516224,16106127360,309731328,10734726,35999394,35999394
n2,chipseq,28597378,TRIMGALORE,1334020879,260326,435.3,3052285952,21996763150,20598734864,8,332005376,1324142592,3797680128,16106127360,3067981824,1334020879,4807293396,4807293396
n2,chipseq,13620777,TRIMGALORE,683568161,123685,418.4,2021625856,10718102834,9966251080,8,737878016,606658560,3198099456,16106127360,2101542912,683568161,2302988576,2302988576
n2,chipseq,13620777,FASTQC,683568161,56302,104.2,1146449920,699097404,1912848,6,4096,2068480,4556795904,16106127360,1149054976,683568161,2302988576,2302988576
n2,chipseq,1787400,FASTQC,94140088,9321,138.0,535977984,109696126,1935300,6,11112448,2101248,4552601600,16106127360,535977984,94140088,300472219,300472219
n2,chipseq,893700,FASTQC,47090363,6390,138.7,652603392,62647652,1937321,6,47161344,2105344,4556795904,16106127360,652603392,47090363,150242459,150242459
n2,chipseq,27241477,TRIMGALORE,1207988328,243848,417.3,2771501056,21028044565,19757625137,8,286130176,1207001088,3528544256,16106127360,2793848832,1207988328,4605965334,4605965334
n2,chipseq,3405200,TRIMGALORE,171591665,35372,392.8,724852736,2860822683,2620320173,8,104747008,154107904,3281301504,16106127360,732893184,171591665,575743734,575743734
n2,chipseq,3574700,TRIMGALORE,187899130,36223,410.4,620187648,2983974712,2725067789,8,83517440,169222144,3274321920,16106127360,635789312,187899130,600924066,600924066
n2,chipseq,425700,FASTQC,21494257,4299,162.1,293330944,37021881,1915657,6,21495808,2084864,4556795904,16106127360,293330944,21494257,71979269,71979269
n2,chipseq,7149400,FASTQC,374895855,29345,110.0,1040166912,390445255,1917223,6,374964224,2080768,4476399616,16106127360,1040166912,374895855,1201839227,1201839227
n2,chipseq,851300,FASTQC,43009231,6299,136.7,330657792,58533653,1906057,6,43016192,2064384,4554698752,16106127360,331735040,43009231,143937930,143937930
n2,chipseq,425700,TRIMGALORE,21494257,7218,297.4,294109184,442314238,380330338,8,0,21188608,3278495744,16106127360,296484864,21494257,71979269,71979269
n2,chipseq,7149400,TRIMGALORE,374895855,69188,422.5,1357553664,5724974596,5279304868,8,749568,335056896,3274301440,16106127360,1369448448,374895855,1201839227,1201839227
n2,chipseq,6810400,FASTQC,342582205,28390,110.7,1038610432,358104228,1898616,6,342593536,2056192,4476399616,16106127360,1038610432,342582205,1151497954,1151497954
n2,chipseq,446900,TRIMGALORE,23529629,7903,315.6,317079552,462796627,396738963,8,23662592,23072768,3278495744,16106127360,319737856,23529629,75125401,75125401
n2,chipseq,851300,TRIMGALORE,43009231,11831,334.8,317435904,863559768,758538168,8,0,40218624,3278491648,16106127360,321466368,43009231,143937930,143937930
n2,chipseq,446900,FASTQC,23529629,4279,173.5,300969984,39086887,1938566,6,0,2101248,4556795904,16106127360,301072384,23529629,75125401,75125401
n2,chipseq,6810400,TRIMGALORE,342582205,62396,421.2,1197420544,5481009772,5069419042,8,0,305405952,3274321920,16106127360,1213095936,342582205,1151497954,1151497954
n2,chipseq,893700,TRIMGALORE,47090363,12883,340.0,299511808,904584637,791413514,8,14360576,43995136,3278516224,16106127360,299511808,47090363,150242459,150242459
n2,chipseq,223500,BWA_MEM,11751671,51462,119.3,5714350080,5479022855,65024373,8,5432467456,13991936,6207057920,16106127360,5714759680,10459320,37266983,37571177
n2,chipseq,14298700,BWA_MEM,748229782,517203,728.2,9755496448,9417515536,4233779539,8,5187510272,897871872,11081682944,16106127360,9759027200,663696061,2383077700,2403651367
n2,chipseq,1787400,BWA_MEM,94140088,104811,449.9,8926642176,5912942610,523752996,8,5227364352,112009216,10018127872,16106127360,8964792320,83631636,298003581,300472219
n2,chipseq,1702600,BWA_MEM,85945806,93239,521.8,9202806784,5891189103,500357375,8,3661774848,102887424,10343854080,16106127360,9241309184,76151634,286963049,287873850
n2,chipseq,212900,BWA_MEM,10734726,32201,191.8,5930004480,5476329160,62102089,8,2853580800,12836864,6139691008,16106127360,5930029056,9531150,35889694,35999394
n2,chipseq,28597378,BWA_MEM,1334020879,938399,788.5,9763958784,13440601255,8496039012,8,1322094592,1795719168,11081703424,16106127360,9775783936,1321962924,4766177542,4807293396
