Machine,Workflow,NumberSequences,Task,WorkflowInputSize,Realtime,%cpu,rss,rchar,wchar,cpus,read_bytes,write_bytes,vmem,memory,peak_rss,TaskInputSize,TaskInputSizeUncompressed,WorkflowInputUncompressed
n2,eager,10129600,fastqc,641176244,52866,172.3,371130368,676637427,2049567,2,642572288,2379776,3091722240,4294967296,374415360,641176244,3213283072,3213283072
n2,eager,5064800,fastqc,321131462,31818,161.1,386465792,356592858,2052355,2,325238784,2387968,3089604608,4294967296,386465792,321131462,1606644896,1606644896
n2,eager,40517890,fastqc,2558365820,178387,194.1,377651200,2604410203,2073935,2,2558550016,2396160,3087507456,4294967296,377782272,2558365820,12853007928,12853007928
n2,eager,20259000,fastqc,1280928724,96527,191.6,367751168,1326966431,2058919,2,1287712768,2387968,3087507456,4294967296,367751168,1280928724,6426512054,6426512054
n2,eager,2532400,fastqc,160406600,18319,181.1,368558080,195868215,2048453,2,160415744,2392064,3087507456,4294967296,368558080,160406600,803341072,803341072
n2,eager,81035690,fastqc,4341560449,298729,192.9,389423104,4387607360,2085441,2,4357779456,2404352,3087507456,4294967296,389660672,4341560449,25705994498,25705994498
n2,eager,1266200,fastqc,80290405,11553,170.1,365899776,115747983,2037522,2,83947520,2359296,3091722240,4294967296,365977600,80290405,401672466,401672466
n2,eager,633200,fastqc,40164535,9666,162.8,382541824,75746307,2033912,2,42852352,2367488,3091722240,4294967296,382619648,40164535,200867866,200867866
n2,eager,316600,fastqc,20081217,8430,161.4,390184960,55676756,2053081,2,20426752,2375680,3091722240,4294967296,390410240,20081217,100428862,100428862
n2,eager,158400,fastqc,10047704,6570,159.2,342392832,45603836,2042712,2,16363520,2363392,3091722240,4294967296,342396928,10047704,50241970,50241970
n2,eager,79200,fastqc,5020214,5318,168.1,332566528,40505837,2009861,2,5365760,2371584,3089604608,4294967296,332570624,5020214,25120602,25120602
n2,eager,40517890,adapter_removal,2558365820,623521,182.4,125734912,6961421444,5013748429,8,283496448,5013975040,18295517184,15032385536,126545920,2558365965,12853008073,12853007928
n2,eager,81035690,adapter_removal,4341560449,1252899,181.2,146411520,13109379167,10005509980,8,797822976,10005979136,18295517184,15032385536,148094976,4341560594,25705994643,25705994498
n2,eager,2532400,adapter_removal,160406600,40513,182.0,120188928,438868387,315240037,8,106319872,315260928,18295517184,15032385536,120442880,160406745,803341217,803341072
n2,eager,5064800,adapter_removal,321131462,77977,184.8,124030976,875153956,630457915,8,181198848,630505472,18295517184,15032385536,124030976,321131607,1606645041,1606644896
n2,eager,158400,adapter_removal,10047704,2686,208.4,119656448,30299019,19853018,8,10051584,19877888,18295517184,15032385536,119656448,10047849,50242115,50241970
n2,eager,1266200,adapter_removal,80290405,19846,186.8,114458624,221181383,157898417,8,80293888,157921280,18296008704,15032385536,114466816,80290550,401672611,401672466
n2,eager,20259000,adapter_removal,1280928724,313775,182.1,131600384,3481485503,2511366313,8,682954752,2511491072,18295517184,15032385536,131600384,1280928869,6426512199,6426512054
n2,eager,633200,adapter_removal,40164535,10178,195.3,146911232,112161435,79068860,8,40636416,79089664,18295517184,15032385536,146968576,40164680,200868011,200867866
n2,eager,10129600,adapter_removal,641176244,158348,182.1,133644288,1745291082,1259331468,8,375508992,1259405312,18295517184,15032385536,133644288,641176389,3213283217,3213283072
n2,eager,79200,adapter_removal,5020214,1571,206.9,91512832,16615349,9946201,8,5402624,9965568,18295517184,15032385536,91512832,5020359,25120747,25120602
n2,eager,316600,adapter_removal,20081217,5147,194.4,119013376,57515603,39517334,8,20086784,39538688,18295517184,15032385536,119013376,20081362,100429007,100428862
n2,eager,40517890,fastqc_after_clipping,2558365820,83061,99.8,362213376,610174596,978786,2,324333568,1138688,3019345920,4294967296,362213376,586174636,3218008747,12853007928
n2,eager,81035690,fastqc_after_clipping,4341560449,152360,100.5,374865920,1210571672,983088,2,349634560,1142784,3019345920,4294967296,374865920,1165431069,6435671112,25705994498
n2,eager,2532400,fastqc_after_clipping,160406600,9320,98.7,310116352,61232400,983760,2,14262272,1146880,3021443072,4294967296,310116352,37228496,201134728,803341072
n2,eager,5064800,fastqc_after_clipping,321131462,13222,116.4,305250304,98442491,970571,2,901120,1130496,2941706240,4294967296,305250304,74444321,402315380,1606644896
n2,eager,158400,fastqc_after_clipping,10047704,3260,131.9,268210176,26404844,1108247,2,2453504,1273856,3023560704,4294967296,268214272,2352547,12634951,50241970
n2,eager,1266200,fastqc_after_clipping,80290405,6199,120.3,307994624,42689844,996575,2,335872,1150976,3023560704,4294967296,308084736,18681039,100635861,401672466
n2,eager,20259000,fastqc_after_clipping,1280928724,40228,106.3,317366272,318468124,967011,2,147456,1134592,2941706240,4294967296,317366272,294474207,1609092043,6426512054
n2,eager,633200,fastqc_after_clipping,40164535,4393,146.6,304750592,33377070,1020570,2,544768,1196032,3023540224,4294967296,304750592,9358291,50377325,200867866
n2,eager,10129600,fastqc_after_clipping,641176244,22201,108.5,326709248,172392842,959827,2,0,1130496,3019345920,4294967296,326709248,148400443,804593980,3213283072
n2,eager,79200,fastqc_after_clipping,5020214,3236,143.6,235773952,25250239,1171333,2,1179648,1335296,3021574144,4294967296,235773952,1179322,6324024,25120602
n2,eager,316600,fastqc_after_clipping,20081217,4193,131.6,292556800,28712947,1057595,2,0,1204224,3023560704,4294967296,292556800,4678251,25168892,100428862
n2,eager,20259000,bwa,1280928724,1139487,683.5,3454078976,46133697774,2667403366,8,1520541696,556326912,7177715712,15032385536,3655110656,294478303,1609096139,6426512054
n2,eager,5064800,bwa,321131462,278111,689.5,3189080064,12035065377,665143616,8,2949120,141983744,6694592512,15032385536,3211497472,74448417,402319476,1606644896
n2,eager,158400,bwa,10047704,10084,568.9,1572052992,1867886173,21433875,8,2355200,5308416,2608570368,15032385536,1617731584,2356643,12639047,50241970
n2,eager,81035690,bwa,4341560449,4424475,686.6,7327330304,183324113625,11492126369,8,1776971776,3010744320,8357941248,15032385536,7866556416,1165435165,6435675208,25705994498
n2,eager,40517890,bwa,2558365820,2191874,690.1,5168668672,91598374435,5340629826,8,439005184,1099780096,7046967296,15032385536,5640482816,586178732,3218012843,12853007928
n2,eager,633200,bwa,40164535,37269,632.9,2377441280,3116200335,83683496,8,9424896,19058688,6650572800,15032385536,2385498112,9362387,50381421,200867866
n2,eager,1266200,bwa,80290405,71553,666.9,2629378048,4390069060,166501834,8,6164480,36806656,5980344320,15032385536,2694492160,18685135,100639957,401672466
n2,eager,316600,bwa,20081217,18608,643.7,1900515328,1893181179,42297984,8,4681728,10002432,2981363712,15032385536,2044162048,4682347,25172988,100428862
n2,eager,79200,bwa,5020214,5613,531.3,1169399808,1855165642,10872280,8,1179648,2871296,2000506880,15032385536,1317093376,1183418,6328120,25120602
n2,eager,2532400,bwa,160406600,137286,686.1,2744770560,6937802331,332198727,8,208896,71802880,5999407104,15032385536,2912497664,37232592,201138824,803341072
n2,eager,10129600,bwa,641176244,555484,686.3,3484925952,23401790462,1331789950,8,19378176,280842240,7077924864,15032385536,3494117376,148404539,804598076,3213283072
n2,eager,81035690,samtools_flagstat,4341560449,16182,96.9,6557696,1260147265,575,1,0,4096,12357632,1073741824,6557696,1260616833,1260616833,25705994498
n2,eager,40517890,samtools_flagstat,2558365820,8093,95.0,6463488,649107226,573,1,0,4096,12357632,1073741824,6463488,649512331,649512331,12853007928
n2,eager,20259000,samtools_flagstat,1280928724,4670,83.1,6553600,330526084,572,1,268242944,4096,12357632,1073741824,6553600,331097816,331097816,6426512054
n2,eager,5064800,samtools_flagstat,321131462,1419,72.9,4710400,84409627,571,1,41754624,4096,12357632,1073741824,4710400,85382149,85382149,1606644896
n2,eager,79200,samtools_flagstat,5020214,33,66.7,3117056,1427521,566,1,0,4096,5615616,1073741824,3117056,1968905,1968905,25120602
