Machine,Workflow,NumberSequences,Task,WorkflowInputSize,Realtime,%cpu,rss,rchar,wchar,cpus,read_bytes,write_bytes,vmem,memory,peak_rss,TaskInputSize,TaskInputSizeUncompressed,WorkflowInputUncompressed
local,bacass,507200,NFCORE_BACASS:BACASS:SKEWER,100390260,141000,107.9,9408512,709832216,691848988,8,101986304,419713024,585056256,8589934592,9408512,100390260,272087568,272087568
local,bacass,4056806,NFCORE_BACASS:BACASS:SKEWER,802663128,1117000,108.8,10805248,5676955708,5533953081,8,802676736,3357618176,585326592,8589934592,10805248,802663128,2176282390,2176282390
local,bacass,253600,NFCORE_BACASS:BACASS:SKEWER,50208773,69000,109.0,9179136,355016196,345989366,8,50212864,209899520,584921088,8589934592,9179136,50208773,136042768,136042768
local,bacass,2028406,NFCORE_BACASS:BACASS:SKEWER,401328556,552000,109.1,10481664,2838325741,2766726502,8,401338368,1678528512,585326592,8589934592,10481664,401328556,1088142390,1088142390
local,bacass,126800,NFCORE_BACASS:BACASS:SKEWER,25092580,35000,109.3,8601600,177649205,173121803,8,25096192,105058304,580173824,8589934592,8601600,25092580,68020768,68020768
local,bacass,63400,NFCORE_BACASS:BACASS:SKEWER,12540116,17000,109.2,4743168,88894145,86589247,8,12541952,52531200,36859904,8589934592,4743168,12540116,34009768,34009768
local,bacass,1014206,NFCORE_BACASS:BACASS:FASTQC,200705135,15000,155.3,802205696,222591841,3579389,8,250425344,3944448,5171957760,8589934592,802205696,200705135,544072190,544072190
local,bacass,253600,NFCORE_BACASS:BACASS:FASTQC,50208773,6000,251.7,468090880,71947724,3550136,8,0,3915776,5252038656,8589934592,468463616,50208773,136042768,136042768
local,bacass,2028406,NFCORE_BACASS:BACASS:FASTQC,401328556,17000,218.5,1491496960,423085536,3590514,8,0,3969024,5247844352,8589934592,1492537344,401328556,1088142390,1088142390
local,bacass,507200,NFCORE_BACASS:BACASS:FASTQC,100390260,7000,238.1,1205145600,122141045,3568485,8,0,3932160,5252038656,8589934592,1209974784,100390260,272087568,272087568
local,bacass,1014206,NFCORE_BACASS:BACASS:SKEWER,200705135,274000,109.9,9879552,1419211301,1383339038,8,0,839225344,585244672,8589934592,9879552,200705135,544072190,544072190
