Machine,Workflow,NumberSequences,Task,WorkflowInputSize,Realtime,%cpu,rss,rchar,wchar,cpus,read_bytes,write_bytes,vmem,memory,peak_rss,TaskInputSize,TaskInputSizeUncompressed,WorkflowInputUncompressed
local,eager,81035690,fastqc,4341560449,393998,169.8,393506816,4387605551,2085454,2,4344549376,3272704,3091730432,4294967296,393506816,4341560449,25705994498,25705994498
local,eager,2532400,fastqc,160406600,27592,113.8,383246336,195866662,2048465,2,160829440,2510848,3087515648,4294967296,383246336,160406600,803341072,803341072
local,eager,10129600,fastqc,641176244,59445,175.8,376078336,676635875,2049581,2,641179648,2527232,3087515648,4294967296,376078336,641176244,3213283072,3213283072
local,eager,40517890,fastqc,2558365820,208470,179.4,358318080,2604407628,2073949,2,2564886528,2752512,3087515648,4294967296,358318080,2558365820,12853007928,12853007928
local,eager,633200,fastqc,40164535,10459,173.3,388935680,75625072,2033914,2,40165376,2400256,3091730432,4294967296,388935680,40164535,200867866,200867866
local,eager,1266200,fastqc,80290405,12389,187.5,362164224,115843156,2037522,2,80293888,2392064,3087515648,4294967296,363999232,80290405,401672466,401672466
local,eager,5064800,fastqc,321131462,31376,181.5,378793984,356725937,2052367,2,321134592,2441216,3091730432,4294967296,378892288,321131462,1606644896,1606644896
local,eager,20259000,fastqc,1280928724,108364,184.2,394620928,1326964108,2058932,2,1281064960,2568192,3091730432,4294967296,394711040,1280928724,6426512054,6426512054
local,eager,316600,fastqc,20081217,7419,177.9,369942528,55567979,2053104,2,20160512,2408448,3087515648,4294967296,369942528,20081217,100428862,100428862
local,eager,158400,fastqc,10047704,6320,166.3,343248896,45520628,2042712,2,10051584,2396160,3087515648,4294967296,343248896,10047704,50241970,50241970
local,eager,79200,fastqc,5020214,5322,146.8,313790464,40502732,2009861,2,5050368,2371584,3091730432,4294967296,313790464,5020214,25120602,25120602
local,eager,2532400,adapter_removal,160406600,43250,173.5,115572736,438866616,315240974,8,25632768,315318272,18295529472,15032385536,119324672,160406745,803341217,803341072
