Machine,Workflow,NumberSequences,Task,WorkflowInputSize,Realtime,%cpu,rss,rchar,wchar,cpus,read_bytes,write_bytes,vmem,memory,peak_rss,TaskInputSize,TaskInputSizeUncompressed,WorkflowInputUncompressed
local,methylseq,9185600,fastqc,673045482,45429,163.0,477589504,689763710,4242192,2,673292288,4714496,3388813312,6442450944,477589504,673045482,2812540396,2812540396
local,methylseq,4592800,fastqc,336584660,25351,167.8,470388736,353308865,4253523,2,336723968,4624384,3388813312,6442450944,470388736,336584660,1406269180,1406269180
local,methylseq,18371200,fastqc,1345246824,84419,161.2,516419584,1361972178,4235619,2,1345265664,4669440,3465076736,6442450944,516419584,1345246824,5625080584,5625080584
local,methylseq,36742400,fastqc,2690288753,155354,167.5,569901056,2706996697,4227909,2,2690301952,4866048,3469271040,6442450944,573677568,2690288753,11250161918,11250161918
local,methylseq,574200,fastqc,42111060,9462,182.1,554770432,58993356,4344069,2,42221568,4702208,3469410304,6442450944,554770432,42111060,175812722,175812722
local,methylseq,1148200,fastqc,84155720,11381,161.6,557289472,100900495,4305809,2,84160512,4681728,3469271040,6442450944,558985216,84155720,351567132,351567132
local,methylseq,287200,fastqc,21071197,6347,186.2,394780672,38000746,4333525,2,21073920,4681728,3467173888,6442450944,394780672,21071197,87937226,87937226
local,methylseq,4592800,trim_galore,336584660,191871,177.3,261300224,6871716170,6428727357,2,2097152,587374592,3139842048,6442450944,262144000,336586451,1406270971,1406269180
local,methylseq,18371200,trim_galore,1345246824,711855,178.2,255852544,26232250149,24781216963,2,90112,2333999104,3063578624,6442450944,255852544,1345248615,5625082375,5625080584
local,methylseq,2296400,trim_galore,168296869,98090,176.7,246730752,3644830571,3369852506,2,168308736,296091648,3063582720,6442450944,246730752,168298660,703135825,703134034
local,methylseq,36742400,trim_galore,2690288753,1392032,179.5,309866496,52048087855,49251576409,2,446464,4662837248,3144040448,6442450944,309907456,2690290544,11250163709,11250161918
local,methylseq,71800,fastqc,5263894,5378,152.2,284168192,22154087,4368774,2,5267456,4730880,3467173888,6442450944,284168192,5263894,21984676,21984676
local,methylseq,9185600,trim_galore,673045482,360858,178.3,272846848,13324282675,12545525946,2,303104,1169756160,3139846144,6442450944,272846848,673047273,2812542187,2812540396
local,methylseq,574200,trim_galore,42111060,34024,168.5,303661056,954070445,857143846,2,253952,77651968,3144040448,6442450944,306249728,42112851,175814513,175812722
local,methylseq,1148200,trim_galore,84155720,55019,172.1,260919296,1869389551,1709464981,2,20480,150396928,3139850240,6442450944,262197248,84157511,351568923,351567132
local,methylseq,2296400,fastqc,168296869,15304,183.2,466755584,185033913,4283507,2,57344,4648960,3461169152,6442450944,466755584,168296869,703134034,703134034
local,methylseq,143600,fastqc,10547640,5438,191.3,325378048,27430461,4349935,2,10551296,4718592,3465076736,6442450944,325378048,10547640,43968694,43968694
local,methylseq,287200,trim_galore,21071197,19600,174.9,162000896,496347002,430930069,2,0,41246720,3063578624,6442450944,162000896,21072988,87939017,87937226
local,methylseq,143600,trim_galore,10547640,13309,168.4,245227520,267577219,217956053,2,0,23109632,3144036352,6442450944,245329920,10549431,43970485,43968694
local,methylseq,71800,trim_galore,5263894,10605,165.0,229822464,152875755,111179482,2,0,14020608,3144040448,6442450944,229924864,5265685,21986467,21984676
local,methylseq,73484606,trim_galore,4751562611,2932087,174.9,252751872,103030772864,98181106336,2,10807939072,9309696000,3133841408,6442450944,258478080,4751564402,22500262713,22500260922
local,methylseq,73484606,fastqc,4751562611,261373,188.9,551223296,4768272854,4234316,2,2939039744,4714496,3469271040,6442450944,551223296,4751562611,22500260922,22500260922
local,methylseq,4592800,bismark_align,336584660,181293,172.7,82214912,9151640162,7151169864,2,315793408,1400020992,480010240,6442450944,82399232,290882362,1381360637,1406269180
local,methylseq,2296400,bismark_align,168296869,86563,173.8,82722816,4585239019,3575336950,2,145944576,699965440,480010240,6442450944,82722816,145442189,690637887,703134034
local,methylseq,18371200,bismark_align,1345246824,717771,170.8,76894208,36544746525,28602734904,2,6182465536,5599698944,479928320,6442450944,82378752,1162886136,5525077773,5625080584
local,methylseq,9185600,bismark_align,673045482,374737,170.7,82550784,18281587264,14300661185,2,601083904,2799702016,479981568,6442450944,82550784,581627282,2762395197,2812540396
local,methylseq,574200,bismark_align,42111060,28027,148.1,81514496,1160814760,893781695,2,37048320,174981120,480014336,6442450944,81514496,36366969,172646833,175812722
local,methylseq,1148200,bismark_align,84155720,48416,165.9,82677760,2301745616,1787224036,2,72699904,349896704,480014336,6442450944,82677760,72699676,345229427,351567132
local,methylseq,287200,bismark_align,21071197,16540,122.7,81326080,590317446,447055351,2,18186240,87527424,478842880,6442450944,81395712,18186943,86355471,87937226
local,methylseq,143600,bismark_align,10547640,11560,92.9,81981440,305516472,224029082,2,9117696,43864064,478740480,6442450944,82051072,9120670,43273099,43968694
local,methylseq,71800,bismark_align,5263894,8503,65.5,81469440,162277515,111874848,2,4546560,21905408,478777344,6442450944,81551360,4551216,21609045,21984676
local,methylseq,36742400,bismark_align,2690288753,1486923,150.2,79679488,73068495455,57204522646,2,15870308352,11199217664,479920128,6442450944,82612224,2325548783,11049962687,11250161918
local,methylseq,4592800,bismark_deduplicate,336584660,857,17.4,3330048,5604979,4910961,2,782336,356352,11239424,6442450944,3330048,352011,352011,1406269180
local,methylseq,2296400,bismark_deduplicate,168296869,355,27.8,10162176,2974867,2455893,2,200704,180224,17313792,6442450944,10162176,173711,173711,703134034
local,methylseq,18371200,bismark_deduplicate,1345246824,327,111.8,9912320,20902884,19155431,2,1384448,1388544,16900096,6442450944,9912320,1383783,1383783,5625080584
local,methylseq,9185600,bismark_deduplicate,673045482,248,86.3,10448896,10753321,9700877,2,704512,708608,17281024,6442450944,10448896,701669,701669,2812540396
local,methylseq,574200,bismark_deduplicate,42111060,124,52.8,10297344,1079803,679782,2,49152,53248,17313792,6442450944,10297344,46008,46008,175812722
local,methylseq,1148200,bismark_deduplicate,84155720,116,67.4,10485760,1729719,1269787,2,0,94208,17457152,6442450944,10485760,89973,89973,351567132
local,methylseq,287200,bismark_deduplicate,21071197,128,49.6,10022912,750620,356765,2,24576,28672,16900096,6442450944,10022912,23495,23495,87937226
local,methylseq,143600,bismark_deduplicate,10547640,106,60.9,10481664,589824,219140,2,0,20480,17457152,6442450944,10481664,13239,13239,43968694
local,methylseq,71800,bismark_deduplicate,5263894,134,41.4,10858496,500630,153649,2,8192,12288,17760256,6442450944,10858496,8059,8059,21984676
local,methylseq,73484606,bismark_align,4751562611,2628836,166.0,82804736,146104774377,114408043374,2,31701499904,22398074880,479928320,6442450944,82808832,4645334823,22099685639,22500260922
local,methylseq,4592800,qualimap,336584660,17458,36.1,108204032,14287629,1495969,2,50061312,1662976,9545629696,6442450944,108392448,351664,351664,1406269180
local,methylseq,4592800,bismark_methXtract,336584660,14202,9.3,25657344,11323742,9870643,2,782336,1196032,40378368,6442450944,25657344,355760,355760,1406269180
local,methylseq,2296400,qualimap,168296869,2721,183.3,118308864,13993786,1449409,2,176128,1622016,9545629696,6442450944,118308864,173757,173757,703134034
local,methylseq,2296400,bismark_methXtract,168296869,13734,5.8,33939456,6219719,5047785,2,0,638976,75264000,6442450944,33939456,177853,177853,703134034
local,methylseq,18371200,qualimap,1345246824,3245,182.0,139223040,15882382,1959523,2,1384448,2138112,9545629696,6442450944,139223040,1381913,1381913,5625080584
local,methylseq,18371200,bismark_methXtract,1345246824,16801,27.7,41340928,40683181,37772611,2,0,4440064,89681920,6442450944,41340928,1386009,1386009,5625080584
local,methylseq,9185600,bismark_methXtract,673045482,15192,17.5,40767488,21313001,19367012,2,704512,2318336,89632768,6442450944,40767488,704772,704772,2812540396
local,methylseq,9185600,qualimap,673045482,3214,183.8,121831424,14833778,1645886,2,0,1810432,9545629696,6442450944,121831424,700676,700676,2812540396
local,methylseq,574200,qualimap,42111060,2867,180.8,117456896,13680272,1371682,2,49152,1548288,9545629696,6442450944,117456896,46054,46054,175812722
local,methylseq,574200,bismark_methXtract,42111060,13289,2.6,25698304,2415893,1518958,2,0,221184,40472576,6442450944,25698304,50150,50150,175812722
local,methylseq,1148200,bismark_methXtract,84155720,13415,3.8,25341952,3704044,2723873,2,90112,356352,40374272,6442450944,25341952,94115,94115,351567132
local,methylseq,1148200,qualimap,84155720,3218,188.8,120455168,13794867,1418275,2,0,1593344,9545629696,6442450944,120455168,90019,90019,351567132
local,methylseq,287200,bismark_methXtract,21071197,13243,2.0,24662016,1759442,863935,2,24576,135168,37642240,6442450944,24662016,27638,27638,87937226
local,methylseq,287200,qualimap,21071197,2829,185.4,118177792,13603609,1301933,2,0,1482752,9545629696,6442450944,118177792,23542,23542,87937226
local,methylseq,143600,qualimap,10547640,2876,181.3,125448192,13572796,1230657,2,233472,1409024,9545629696,6442450944,125448192,13287,13287,43968694
local,methylseq,143600,bismark_methXtract,10547640,13216,1.8,24723456,1471825,522134,2,0,110592,37642240,6442450944,24723456,17383,17383,43968694
local,methylseq,71800,qualimap,5263894,2683,180.4,117792768,13553909,1178913,2,8192,1363968,9478520832,6442450944,117792768,8106,8106,21984676
local,methylseq,71800,bismark_methXtract,5263894,13205,1.8,24784896,1313501,320851,2,0,102400,37650432,6442450944,24784896,12202,12202,21984676
local,methylseq,36742400,bismark_deduplicate,2690288753,509,123.7,3399680,41439503,38315514,2,2637824,2760704,11239424,6442450944,3399680,2763586,2763586,11250161918
local,methylseq,4592800,bismark_report,336584660,1429,17.4,12439552,3542698,3162740,1,3231744,3162112,19357696,6442450944,12439552,16177,16177,1406269180
local,methylseq,2296400,bismark_report,168296869,1394,20.2,41099264,3542278,3162525,1,8192,3162112,52092928,6442450944,44023808,15757,15757,703134034
local,methylseq,18371200,bismark_report,1345246824,1368,19.7,41160704,3543756,3163278,1,8192,3162112,52101120,6442450944,44085248,17235,17235,5625080584
local,methylseq,9185600,bismark_report,673045482,1323,19.8,41103360,3543481,3163136,1,8192,3162112,52101120,6442450944,44027904,16960,16960,2812540396
local,methylseq,574200,bismark_report,42111060,1295,20.8,41218048,3541387,3162059,1,8192,3162112,52097024,6442450944,44142592,14866,14866,175812722
local,methylseq,1148200,bismark_report,84155720,1289,20.1,28512256,3542048,3162406,1,8192,3162112,37994496,6442450944,28512256,15527,15527,351567132
local,methylseq,287200,bismark_report,21071197,1288,20.4,40611840,3540865,3161712,1,8192,3162112,52080640,6442450944,40611840,14345,14345,87937226
local,methylseq,143600,bismark_report,10547640,1359,19.2,41115648,3540454,3161371,1,8192,3162112,52101120,6442450944,44040192,13933,13933,43968694
local,methylseq,71800,bismark_report,5263894,1286,19.5,38424576,3540020,3160942,1,8192,3162112,52084736,6442450944,38424576,13500,13500,21984676
local,methylseq,36742400,qualimap,2690288753,4108,177.1,188940288,17977783,2613239,2,0,2789376,9545629696,6442450944,188940288,2753003,2753003,11250161918
local,methylseq,36742400,bismark_methXtract,2690288753,21033,47.8,41299968,79848957,74985144,2,0,8749056,89714688,6442450944,41299968,2757099,2757099,11250161918
local,methylseq,36742400,bismark_report,2690288753,1360,19.9,30801920,3544149,3163481,1,0,3162112,41136128,6442450944,30801920,17628,17628,11250161918
local,methylseq,73484606,bismark_deduplicate,4751562611,1164,102.8,19054592,82930174,76961349,2,5373952,5513216,31907840,6442450944,19054592,5559577,5559577,22500260922
local,methylseq,73484606,bismark_methXtract,4751562611,27424,64.8,41381888,158122287,149326332,2,12288,17289216,89743360,6442450944,41381888,5512096,5512096,22500260922
local,methylseq,73484606,qualimap,4751562611,4506,188.0,219557888,22152132,4032896,2,0,4206592,9545629696,6442450944,219557888,5508000,5508000,22500260922
local,methylseq,73484606,bismark_report,4751562611,1311,19.1,12541952,3544508,3163541,1,28672,3162112,19390464,6442450944,12541952,18035,18035,22500260922
