Machine,Workflow,NumberSequences,Task,WorkflowInputSize,Realtime,%cpu,rss,rchar,wchar,cpus,read_bytes,write_bytes,vmem,memory,peak_rss,TaskInputSize,TaskInputSizeUncompressed,WorkflowInputUncompressed
localRedCPU,atacseq,2349800,FASTQC,116545329,20799,142.1,501669888,147379679,3625608,6,4096,4014080,4560068608,16106127360,501772288,116545329,440371968,440371968
localRedCPU,atacseq,147000,FASTQC,7287465,6853,213.9,246988800,38071174,3579498,6,0,3952640,4556156928,16106127360,246988800,7287465,27547568,27547568
localRedCPU,atacseq,4699600,FASTQC,233161053,30762,125.1,537305088,264005327,3653107,6,929792,4014080,4475789312,16106127360,537305088,233161053,880745968,880745968
localRedCPU,atacseq,293800,FASTQC,14554208,7784,197.0,268890112,45377599,3601566,6,0,3977216,4555882496,16106127360,269979648,14554208,55059168,55059168
localRedCPU,atacseq,18798126,FASTQC,931822514,98858,108.6,1040547840,962683118,3683261,6,8192,4104192,4475789312,16106127360,1040547840,931822514,3522936056,3522936056
localRedCPU,atacseq,37596126,FASTQC,1862380804,189885,104.5,1037967360,1893321405,3704590,6,12034048,4194304,4475789312,16106127360,1037967360,1862380804,7045849256,7045849256
localRedCPU,atacseq,587600,FASTQC,29105620,8685,193.7,284401664,59928715,3604216,6,0,3977216,4561272832,16106127360,284401664,29105620,110119968,110119968
localRedCPU,atacseq,1175000,FASTQC,58238751,12700,158.1,328544256,89067169,3615201,6,0,3985408,4560166912,16106127360,328544256,58238751,220203968,220203968
localRedCPU,atacseq,73600,FASTQC,3653358,5684,214.7,267821056,34437938,3596877,6,0,3973120,4555882496,16106127360,267821056,3653358,13791968,13791968
localRedCPU,atacseq,9399126,FASTQC,466177547,53848,114.5,1136689152,497033409,3673565,6,0,4059136,4555882496,16106127360,1140002816,466177547,1761479256,1761479256
localRedCPU,atacseq,4699600,TRIMGALORE,233161053,89411,527.5,578621440,6708717023,6395927139,8,7045120,391548928,3277729792,16106127360,578879488,233161053,880745968,880745968
localRedCPU,atacseq,18798126,TRIMGALORE,931822514,453619,413.0,1512550400,26021005870,25009596869,8,994439168,1554493440,3277721600,16106127360,1562341376,931822514,3522936056,3522936056
localRedCPU,atacseq,587600,TRIMGALORE,29105620,19700,370.9,248815616,910805772,834603927,8,3129344,52588544,3273560064,16106127360,248815616,29105620,110119968,110119968
localRedCPU,atacseq,293800,TRIMGALORE,14554208,11528,355.6,283230208,474097859,419193793,8,0,28327936,3280420864,16106127360,283230208,14554208,55059168,55059168
localRedCPU,atacseq,2349800,TRIMGALORE,116545329,50257,485.8,375894016,3490313042,3294133043,8,0,197914624,3197632512,16106127360,375902208,116545329,440371968,440371968
localRedCPU,atacseq,147000,TRIMGALORE,7287465,9757,275.2,228417536,255985433,211748537,8,0,16232448,3277754368,16106127360,232112128,7287465,27547568,27547568
localRedCPU,atacseq,1175000,TRIMGALORE,58238751,28076,456.1,243630080,1784358242,1665524074,8,0,101040128,3197632512,16106127360,250904576,58238751,220203968,220203968
localRedCPU,atacseq,37596126,TRIMGALORE,1862380804,646267,562.4,2003668992,51769764714,49827776921,8,256622592,3103084544,3199750144,16106127360,2018172928,1862380804,7045849256,7045849256
localRedCPU,atacseq,73600,TRIMGALORE,3653358,9089,237.9,212172800,146916463,107973443,8,1314816,10170368,3275632640,16106127360,212172800,3653358,13791968,13791968
localRedCPU,atacseq,9399126,TRIMGALORE,466177547,168631,546.4,977649664,13145267431,12599501305,8,131072,778887168,3197632512,16106127360,984932352,466177547,1761479256,1761479256
localRedCPU,atacseq,75192126,FASTQC,3259653689,394458,94.3,1101869056,3290598061,3705655,6,3323219968,4386816,4555882496,16106127360,1102794752,3259653689,14091675276,14091675276
localRedCPU,atacseq,75192126,TRIMGALORE,3259653689,1287843,560.2,3410366464,102788725077,99455492305,8,648630272,6195326976,4187525120,16106127360,3443290112,3259653689,14091675276,14091675276
localRedCPU,atacseq,4699600,BWA_MEM,233161053,250823,469.2,7110877184,6960822061,1655332603,8,5615226880,305164288,8252002304,16106127360,7114358784,192983961,807128020,880745968
localRedCPU,atacseq,18798126,BWA_MEM,931822514,652642,723.3,7274115072,11627514151,6658509390,8,5834809344,1220935680,8291221504,16106127360,7274983424,771829785,3228323076,3522936056
localRedCPU,atacseq,587600,BWA_MEM,29105620,70678,208.5,6031249408,5609312234,205759496,8,4709707776,38146048,6320513024,16106127360,6031282176,24155072,100881862,110119968
