Machine,Workflow,NumberSequences,Task,WorkflowInputSize,Realtime,%cpu,rss,rchar,wchar,cpus,read_bytes,write_bytes,vmem,memory,peak_rss,TaskInputSize,TaskInputSizeUncompressed,WorkflowInputUncompressed
localRedCPU,bacass,507200,NFCORE_BACASS:BACASS:FASTQC,100390260,12000,173.4,580898816,122281841,3568498,8,151732224,3932160,5247844352,8589934592,580898816,100390260,272087568,272087568
localRedCPU,bacass,4056806,NFCORE_BACASS:BACASS:FASTQC,802663128,43000,186.2,1493516288,824390895,3599510,8,802676736,3985408,5247844352,8589934592,1493966848,802663128,2176282390,2176282390
localRedCPU,bacass,4056806,NFCORE_BACASS:BACASS:SKEWER,802663128,1350000,109.3,10862592,5676955718,5533953093,8,1593344,3357618176,585461760,8589934592,10862592,802663128,2176282390,2176282390
localRedCPU,bacass,253600,NFCORE_BACASS:BACASS:SKEWER,50208773,85000,108.9,9469952,355016191,345989366,8,50212864,209899520,585056256,8589934592,9469952,50208773,136042768,136042768
localRedCPU,bacass,126800,NFCORE_BACASS:BACASS:FASTQC,25092580,5000,285.4,405667840,46828694,3541001,8,25096192,3911680,5252038656,8589934592,411971584,25092580,68020768,68020768
localRedCPU,bacass,507200,NFCORE_BACASS:BACASS:SKEWER,100390260,169000,109.3,9412608,709832198,691848979,8,0,419713024,585056256,8589934592,9412608,100390260,272087568,272087568
localRedCPU,bacass,253600,NFCORE_BACASS:BACASS:FASTQC,50208773,6000,263.9,449069056,71946258,3550140,8,0,3915776,5252038656,8589934592,450207744,50208773,136042768,136042768
localRedCPU,bacass,1014206,NFCORE_BACASS:BACASS:SKEWER,200705135,339000,109.0,9822208,1419211296,1383339038,8,200712192,839225344,585109504,8589934592,9822208,200705135,544072190,544072190
localRedCPU,bacass,63400,NFCORE_BACASS:BACASS:SKEWER,12540116,21000,108.8,4968448,88894140,86589247,8,12541952,52531200,36859904,8589934592,4968448,12540116,34009768,34009768
localRedCPU,bacass,63400,NFCORE_BACASS:BACASS:FASTQC,12540116,3000,306.8,398548992,34250426,3560587,8,0,3940352,5252038656,8589934592,399503360,12540116,34009768,34009768
localRedCPU,bacass,2028406,NFCORE_BACASS:BACASS:SKEWER,401328556,676000,109.1,10633216,2838325736,2766726502,8,401338368,1678528512,585461760,8589934592,10633216,401328556,1088142390,1088142390
localRedCPU,bacass,126800,NFCORE_BACASS:BACASS:SKEWER,25092580,42000,109.8,6311936,177649200,173121803,8,0,105058304,565391360,8589934592,6311936,25092580,68020768,68020768
localRedCPU,bacass,2028406,NFCORE_BACASS:BACASS:FASTQC,401328556,21000,211.5,1554583552,423053157,3590516,8,0,3952640,5252038656,8589934592,1565429760,401328556,1088142390,1088142390
