Machine,Workflow,NumberSequences,Task,WorkflowInputSize,Realtime,%cpu,rss,rchar,wchar,cpus,read_bytes,write_bytes,vmem,memory,peak_rss,TaskInputSize,TaskInputSizeUncompressed,WorkflowInputUncompressed
localRedCPU,methylseq,36742400,fastqc,2690288753,193636,159.5,583102464,2706996994,4227909,2,2690387968,4780032,3469271040,6442450944,583184384,2690288753,11250161918,11250161918
localRedCPU,methylseq,9185600,fastqc,673045482,68766,131.4,545902592,689757917,4242189,2,690429952,4636672,3465076736,6442450944,545902592,673045482,2812540396,2812540396
localRedCPU,methylseq,18371200,fastqc,1345246824,89673,176.9,517468160,1361973347,4235627,2,1345626112,4632576,3465076736,6442450944,517468160,1345246824,5625080584,5625080584
localRedCPU,methylseq,4592800,fastqc,336584660,28546,186.3,489287680,353300330,4253523,2,336588800,4665344,3465076736,6442450944,490512384,336584660,1406269180,1406269180
localRedCPU,methylseq,1148200,fastqc,84155720,9441,187.5,510951424,100902970,4305810,2,84160512,4681728,3465076736,6442450944,510951424,84155720,351567132,351567132
localRedCPU,methylseq,287200,fastqc,21071197,7388,172.2,445059072,38002447,4333526,2,21073920,4698112,3474235392,6442450944,445059072,21071197,87937226,87937226
localRedCPU,methylseq,18371200,trim_galore,1345246824,819993,179.3,255197184,26232250469,24781216964,2,2568192,2334031872,3063578624,6442450944,255197184,1345248615,5625082375,5625080584
localRedCPU,methylseq,143600,fastqc,10547640,7457,187.4,316350464,27482028,4349934,2,10551296,4718592,3465076736,6442450944,316350464,10547640,43968694,43968694
localRedCPU,methylseq,71800,fastqc,5263894,5402,185.0,250548224,22162371,4368762,2,5267456,4730880,3465076736,6442450944,250548224,5263894,21984676,21984676
localRedCPU,methylseq,9185600,trim_galore,673045482,415371,178.2,255586304,13324283103,12545525952,2,0,1169788928,3063590912,6442450944,255586304,673047273,2812542187,2812540396
localRedCPU,methylseq,2296400,fastqc,168296869,19404,189.1,518459392,185034007,4283509,2,168308736,4648960,3465076736,6442450944,518459392,168296869,703134034,703134034
localRedCPU,methylseq,36742400,trim_galore,2690288753,1638105,179.6,321986560,52048090445,49251576409,2,59129856,4662902784,3146133504,6442450944,328155136,2690290544,11250163709,11250161918
localRedCPU,methylseq,4592800,trim_galore,336584660,218468,178.5,242036736,6871715821,6428727356,2,880640,587374592,3063586816,6442450944,242036736,336586451,1406270971,1406269180
localRedCPU,methylseq,574200,trim_galore,42111060,35051,179.1,236929024,954070479,857143847,2,42115072,77651968,3063578624,6442450944,236929024,42112851,175814513,175812722
localRedCPU,methylseq,574200,fastqc,42111060,9354,190.7,539717632,59003346,4344070,2,24576,4702208,3469230080,6442450944,539717632,42111060,175812722,175812722
localRedCPU,methylseq,2296400,trim_galore,168296869,111475,177.1,270540800,3644830315,3369852506,2,757760,296095744,3139846144,6442450944,271761408,168298660,703135825,703134034
localRedCPU,methylseq,1148200,trim_galore,84155720,61397,174.3,236871680,1869389071,1709464998,2,634880,150396928,3063578624,6442450944,236871680,84157511,351568923,351567132
localRedCPU,methylseq,287200,trim_galore,21071197,23096,170.8,300818432,496349432,430930073,2,4096,41246720,3144040448,6442450944,300818432,21072988,87939017,87937226
localRedCPU,methylseq,143600,trim_galore,10547640,15346,173.1,249589760,267568686,217956052,2,212992,23109632,3144040448,6442450944,249692160,10549431,43970485,43968694
localRedCPU,methylseq,71800,trim_galore,5263894,12285,157.5,223068160,152875859,111179482,2,212992,14020608,3144036352,6442450944,223162368,5265685,21986467,21984676
localRedCPU,methylseq,73484606,fastqc,4751562611,299449,192.6,572030976,4768274619,4234316,2,12443648,4820992,3469271040,6442450944,572416000,4751562611,22500260922,22500260922
localRedCPU,methylseq,73484606,trim_galore,4751562611,3376303,178.7,256712704,103030773422,98181106355,2,8214360064,9309429760,3063582720,6442450944,261292032,4751564402,22500262713,22500260922
localRedCPU,methylseq,9185600,bismark_align,673045482,409099,172.8,81932288,18281587259,14300661185,2,1194381312,2799714304,479928320,6442450944,82563072,581627282,2762395197,2812540396
localRedCPU,methylseq,18371200,bismark_align,1345246824,794834,176.0,81494016,36544746540,28602734919,2,5890748416,5599674368,479920128,6442450944,82341888,1162886136,5525077773,5625080584
